SalesMonth,Retailer,Product,SalesValueUSD,UnitsSold
"01-Jun-2020","Sweet Treats","Schnoogles 8.81oz",6450.93,687
"01-Jun-2020","Sweet Treats","Creamies 10.57oz",449.25,75
"01-Jun-2020","Sweet Treats","Caramax 6.59oz",973.59,391
"01-Jun-2020","Sweet Treats","Salt Chocolate 10.57oz",2234.07,723
"01-Jun-2020","Sweet Treats","Googlies 1.94oz",236.00,400
"01-Jun-2020","Sweet Treats","Chocolatey Nougat 8.81oz",207.93,87
"01-Jun-2020","Sweet Treats","The Original 4.23oz",1099.62,738
"01-Jun-2020","Sweet Treats","Meltos 28.19oz",1393.57,73
"01-Jun-2020","Sweet Treats","Zoots 3.17oz",955.89,741
"01-Jun-2020","Sweet Treats","Sweetsverse 7.05oz",494.76,124
"01-Jun-2020","Sweet Treats","Xero 4.23oz",534.31,449
"01-Jun-2020","Sweet Treats","Rumbuns 2.47oz",1848.36,844
"01-Jun-2020","Sweet Treats","Zigzags 5.64oz",1779.33,687
"01-Jun-2020","Sweet Treats","Bitterbutter 3.88oz",404.54,226
"01-Jun-2020","Sweet Treats","Zigzags 3.52oz",360.99,191
"01-Jun-2020","Sweet Treats","Paramels 8.35oz",3708.30,470
"01-Jun-2020","Sweet Treats","Dr Sweets 9.52oz",206.70,130
"01-Jun-2020","Sweet Treats","Whippersnappers 4.41oz",1118.60,340
"01-Jun-2020","Sweet Treats","Buzzers 7.47oz",528.99,231
"01-Jun-2020","Sweet Treats","Yumyums 5.71oz",1614.54,426
"01-Jun-2020","Sweet Treats","Minotaur 13.39oz",1073.28,192
"01-Jun-2020","Sweet Treats","Schnoogles 3.52oz",1703.32,388
"01-Jun-2020","Sweet Treats","Elysian Fudge 4.41oz",4423.21,869
"01-Jun-2020","Sweet Treats","Sweetlings 7.05oz",2127.90,410
"01-Jun-2020","Sweet Treats","Elysian Fudge 1.76oz",1461.02,638
"01-Jun-2020","Sweet Treats","Sweetlings 11.28oz",5098.47,663
"01-Jun-2020","Sweet Treats","Sportsman 7.05oz",1705.65,685
"01-Jun-2020","Sweet Treats","Twisters 4.23oz",92.38,62
"01-Jun-2020","Sweet Treats","Huckles 2.11oz",881.10,890
