SalesMonth,Retailer,Product,SalesValueUSD,UnitsSold
"01-May-2020","Sweet Treats","Magma 2.47oz",1210.04,716
"01-May-2020","Sweet Treats","Petals 1.23oz",815.32,748
"01-May-2020","Sweet Treats","Whippersnappers 1.76oz",1019.16,684
"01-May-2020","Sweet Treats","The Original 10.57oz",2788.06,874
"01-May-2020","Sweet Treats","Zoots 7.93oz",1263.87,453
"01-May-2020","Sweet Treats","Cerealice 5.64oz",2432.70,530
"01-May-2020","Sweet Treats","Salt Chocolate 26.43oz",610.06,94
"01-May-2020","Sweet Treats","Minotaur 33.48oz",2574.14,226
"01-May-2020","Sweet Treats","Googlies 7.75oz",35.49,21
"01-May-2020","Sweet Treats","Rokkolate 10.57oz",312.62,98
"01-May-2020","Sweet Treats","Flair 7.05oz",349.27,53
"01-May-2020","Sweet Treats","Fairy Sweets 1.59oz",439.55,745
"01-May-2020","Sweet Treats","Paramels 33.48oz",15280.05,645
"01-May-2020","Sweet Treats","Cheeky Caramels 7.93oz",2270.45,455
"01-May-2020","Sweet Treats","Dynasty 16.00oz",5067.87,523
"01-May-2020","Sweet Treats","Bravo 7.05oz",1365.14,686
"01-May-2020","Sweet Treats","Gnaw 10.57oz",494.73,207
"01-May-2020","Sweet Treats","Gnaw 4.23oz",377.14,346
"01-May-2020","Sweet Treats","Twisters 16.92oz",3484.24,776
"01-May-2020","Sweet Treats","Unicorn 1.69oz",116.13,147
"01-May-2020","Sweet Treats","Chocolatey Nougat 3.52oz",907.97,833
"01-May-2020","Sweet Treats","Cerealice 3.52oz",1403.60,440
"01-May-2020","Sweet Treats","Cerealice 14.10oz",1378.86,134
"01-May-2020","Sweet Treats","Paramels 3.35oz",2712.00,800
"01-May-2020","Sweet Treats","Pippops 9.16oz",25.52,8
"01-May-2020","Sweet Treats","Meltos 2.82oz",162.59,71
"01-May-2020","Sweet Treats","Gumbles 1.76oz",221.27,203
"01-May-2020","Sweet Treats","Banananice 4.41oz",2039.31,819
"01-May-2020","Sweet Treats","Yumyums 2.29oz",777.40,460
"01-May-2020","Sweet Treats","Flair 28.19oz",14189.24,676
"01-May-2020","Sweet Treats","Banonza 2.64oz",9.95,5
"01-May-2020","Sweet Treats","Banananice 1.76oz",666.40,560
"01-May-2020","Sweet Treats","Schnoogles 14.10oz",10257.58,802
"01-May-2020","Sweet Treats","Minotaur 3.35oz",615.37,413
"01-May-2020","Sweet Treats","Sailor Joe 16.92oz",2987.60,440
"01-May-2020","Sweet Treats","Chocolatey Nougat 14.10oz",832.59,261
"01-May-2020","Sweet Treats","Bravo 1.76oz",278.48,472
"01-May-2020","Sweet Treats","Petals 3.07oz",1351.10,590
"01-May-2020","Sweet Treats","Cerealice 1.41oz",56.62,38
"01-May-2020","Sweet Treats","Forage Bar 2.29oz",298.98,302
"01-May-2020","Sweet Treats","Banonza 6.59oz",3255.63,777
"01-May-2020","Sweet Treats","Googlies 19.38oz",3084.84,836
"01-May-2020","Sweet Treats","Rumbuns 9.87oz",1479.87,203
"01-May-2020","Sweet Treats","Yumyums 9.16oz",1230.03,237
"01-May-2020","Sweet Treats","Hoots 6.17oz",1674.61,509
"01-May-2020","Sweet Treats","Sailor Joe 10.57oz",3442.46,734
"01-May-2020","Sweet Treats","Bitterbutter 9.69oz",2277.79,601
"01-May-2020","Sweet Treats","Forage Bar 5.71oz",1433.74,686
"01-May-2020","Sweet Treats","Paramels 13.39oz",2902.51,269
"01-May-2020","Sweet Treats","Rokkolate 4.23oz",782.25,525
"01-May-2020","Sweet Treats","Gnaw 16.92oz",244.08,72
"01-May-2020","Sweet Treats","Creamies 2.64oz",1217.94,766
"01-May-2020","Sweet Treats","Boho 11.28oz",7058.66,794
"01-May-2020","Sweet Treats","Googlies 4.83oz",242.76,204
"01-May-2020","Sweet Treats","Sweetlings 2.82oz",164.88,72
"01-May-2020","Sweet Treats","Sweetsverse 28.19oz",9396.03,707
"01-May-2020","Sweet Treats","Cheeky Caramels 3.17oz",517.54,226
"01-May-2020","Sweet Treats","Daydream 2.82oz",790.25,725
"01-May-2020","Sweet Treats","Pippops 2.29oz",593.63,667
"01-May-2020","Sweet Treats","Buzzers 3.00oz",121.77,123
"01-May-2020","Sweet Treats","Unicorn 6.77oz",194.65,85
"01-May-2020","Sweet Treats","Buzzers 11.98oz",306.24,96
"01-May-2020","Sweet Treats","Flair 17.62oz",9600.22,658
"01-May-2020","Sweet Treats","Unicorn 16.92oz",3403.18,682
"01-May-2020","Sweet Treats","Zigzags 1.41oz",378.25,425
"01-May-2020","Sweet Treats","Huckles 5.29oz",181.83,87
"01-May-2020","Sweet Treats","Unicorn 4.23oz",887.22,558
"01-May-2020","Sweet Treats","Pippops 22.91oz",6011.40,860
"01-May-2020","Sweet Treats","Obelisk 35.24oz",4016.21,319
"01-May-2020","Sweet Treats","Boho 28.19oz",12933.13,667
"01-May-2020","Sweet Treats","Sweetsverse 2.82oz",216.32,128
"01-May-2020","Sweet Treats","Boho 2.82oz",385.02,138
"01-May-2020","Sweet Treats","Obelisk 22.03oz",7983.22,898
"01-May-2020","Sweet Treats","Zoots 12.69oz",2243.68,592
"01-May-2020","Sweet Treats","Magma 6.17oz",180.81,49
"01-May-2020","Sweet Treats","Caramax 10.57oz",2983.20,880
"01-May-2020","Sweet Treats","Cheeky Caramels 12.69oz",6546.42,898
"01-May-2020","Sweet Treats","Meltos 7.05oz",1806.38,362
"01-May-2020","Sweet Treats","Boho 7.05oz",4811.10,790
"01-May-2020","Sweet Treats","Elysian Fudge 7.05oz",1685.88,252
"01-May-2020","Sweet Treats","Bitterbutter 15.51oz",2694.38,482
