SalesMonth,Retailer,Product,SalesValueUSD,UnitsSold
"01-Sep-2020","Sweet Treats","Twisters 10.57oz",1625.26,494
"01-Sep-2020","Sweet Treats","Magma 2.47oz",572.80,320
"01-Sep-2020","Sweet Treats","Petals 1.23oz",882.90,810
"01-Sep-2020","Sweet Treats","Whippersnappers 1.76oz",484.25,325
"01-Sep-2020","Sweet Treats","Zoots 7.93oz",57.80,20
"01-Sep-2020","Sweet Treats","Cerealice 5.64oz",3214.09,671
"01-Sep-2020","Sweet Treats","Salt Chocolate 26.43oz",1612.29,241
"01-Sep-2020","Sweet Treats","Googlies 7.75oz",1002.40,560
"01-Sep-2020","Sweet Treats","Rokkolate 10.57oz",2783.19,821
"01-Sep-2020","Sweet Treats","Flair 7.05oz",325.92,48
"01-Sep-2020","Sweet Treats","Fairy Sweets 1.59oz",14.75,25
"01-Sep-2020","Sweet Treats","Gumbles 4.41oz",1941.92,848
"01-Sep-2020","Sweet Treats","Dynasty 16.00oz",5299.35,515
"01-Sep-2020","Sweet Treats","Cheeky Caramels 7.93oz",3687.61,739
"01-Sep-2020","Sweet Treats","Paramels 33.48oz",463.41,19
"01-Sep-2020","Sweet Treats","Carousel 16.00oz",2383.26,314
"01-Sep-2020","Sweet Treats","Xero 10.57oz",1885.52,728
"01-Sep-2020","Sweet Treats","Gnaw 10.57oz",1262.43,507
"01-Sep-2020","Sweet Treats","Gnaw 4.23oz",465.29,391
"01-Sep-2020","Sweet Treats","Unicorn 1.69oz",258.33,327
"01-Sep-2020","Sweet Treats","Zigzags 14.10oz",1236.27,203
"01-Sep-2020","Sweet Treats","Twisters 16.92oz",2194.92,468
"01-Sep-2020","Sweet Treats","Chocolatey Nougat 3.52oz",405.48,372
"01-Sep-2020","Sweet Treats","Cerealice 14.10oz",3442.01,319
"01-Sep-2020","Sweet Treats","Pippops 9.16oz",1728.90,510
"01-Sep-2020","Sweet Treats","Cerealice 3.52oz",1006.83,297
"01-Sep-2020","Sweet Treats","Paramels 3.35oz",2035.53,567
"01-Sep-2020","Sweet Treats","Gumbles 1.76oz",559.17,513
"01-Sep-2020","Sweet Treats","Meltos 2.82oz",1833.13,767
"01-Sep-2020","Sweet Treats","Yumyums 2.29oz",870.35,515
"01-Sep-2020","Sweet Treats","Flair 28.19oz",1626.75,75
"01-Sep-2020","Sweet Treats","Banananice 4.41oz",279.72,108
"01-Sep-2020","Sweet Treats","Banonza 2.64oz",277.97,133
"01-Sep-2020","Sweet Treats","Sailor Joe 16.92oz",2672.93,377
"01-Sep-2020","Sweet Treats","Schnoogles 14.10oz",5530.07,413
"01-Sep-2020","Sweet Treats","Banananice 1.76oz",326.06,274
"01-Sep-2020","Sweet Treats","Chocolatey Nougat 14.10oz",1559.46,474
"01-Sep-2020","Sweet Treats","Bravo 1.76oz",415.36,704
"01-Sep-2020","Sweet Treats","Sailor Joe 42.29oz",9588.31,619
"01-Sep-2020","Sweet Treats","Petals 3.07oz",979.90,410
"01-Sep-2020","Sweet Treats","Cerealice 1.41oz",518.34,326
"01-Sep-2020","Sweet Treats","Forage Bar 2.29oz",352.44,356
"01-Sep-2020","Sweet Treats","Googlies 19.38oz",2489.60,640
"01-Sep-2020","Sweet Treats","Banonza 6.59oz",294.13,67
"01-Sep-2020","Sweet Treats","Rumbuns 9.87oz",5521.42,718
"01-Sep-2020","Sweet Treats","Sailor Joe 10.57oz",2979.38,622
"01-Sep-2020","Sweet Treats","Bitterbutter 9.69oz",73.91,19
"01-Sep-2020","Sweet Treats","Paramels 13.39oz",8098.29,711
"01-Sep-2020","Sweet Treats","Forage Bar 5.71oz",183.92,88
"01-Sep-2020","Sweet Treats","Rokkolate 4.23oz",250.32,168
"01-Sep-2020","Sweet Treats","Gnaw 16.92oz",324.72,88
"01-Sep-2020","Sweet Treats","Creamies 2.64oz",373.49,221
"01-Sep-2020","Sweet Treats","Boho 11.28oz",4737.46,494
"01-Sep-2020","Sweet Treats","Sweetlings 2.82oz",327.43,137
"01-Sep-2020","Sweet Treats","Googlies 4.83oz",149.94,126
"01-Sep-2020","Sweet Treats","Sweetsverse 28.19oz",5943.49,431
"01-Sep-2020","Sweet Treats","Daydream 2.82oz",565.25,475
"01-Sep-2020","Sweet Treats","Cheeky Caramels 3.17oz",530.37,213
"01-Sep-2020","Sweet Treats","Unicorn 6.77oz",1118.52,468
"01-Sep-2020","Sweet Treats","Buzzers 3.00oz",347.71,319
"01-Sep-2020","Sweet Treats","Buzzers 11.98oz",983.10,290
"01-Sep-2020","Sweet Treats","Flair 17.62oz",12596.94,846
"01-Sep-2020","Sweet Treats","Unicorn 16.92oz",3189.87,603
"01-Sep-2020","Sweet Treats","Zigzags 1.41oz",589.18,662
"01-Sep-2020","Sweet Treats","Sailor Joe 4.23oz",1419.12,648
"01-Sep-2020","Sweet Treats","Unicorn 4.23oz",1198.86,754
"01-Sep-2020","Sweet Treats","Pippops 22.91oz",486.85,65
"01-Sep-2020","Sweet Treats","Obelisk 35.24oz",3323.88,252
"01-Sep-2020","Sweet Treats","Boho 2.82oz",1277.38,442
"01-Sep-2020","Sweet Treats","Obelisk 22.03oz",8522.02,898
"01-Sep-2020","Sweet Treats","Boho 28.19oz",10643.58,522
"01-Sep-2020","Sweet Treats","Sweetsverse 2.82oz",1629.18,862
"01-Sep-2020","Sweet Treats","Magma 6.17oz",2812.95,705
"01-Sep-2020","Sweet Treats","Caramax 10.57oz",1573.99,451
"01-Sep-2020","Sweet Treats","Zoots 12.69oz",422.94,106
"01-Sep-2020","Sweet Treats","Meltos 7.05oz",2139.83,397
"01-Sep-2020","Sweet Treats","Boho 7.05oz",3092.76,484
"01-Sep-2020","Sweet Treats","Cheeky Caramels 12.69oz",807.45,105
"01-Sep-2020","Sweet Treats","Bitterbutter 15.51oz",3980.08,712
"01-Sep-2020","Sweet Treats","Cheeky Caramels 31.72oz",5804.37,363
"01-Sep-2020","Sweet Treats","Elysian Fudge 7.05oz",2453.14,346
"01-Sep-2020","Sweet Treats","Hoots 9.87oz",938.00,200
"01-Sep-2020","Sweet Treats","Hoots 2.47oz",1146.39,721
"01-Sep-2020","Sweet Treats","Huckles 2.11oz",367.29,371
"01-Sep-2020","Sweet Treats","Obelisk 8.81oz",1038.86,254
"01-Sep-2020","Sweet Treats","Daydream 7.05oz",1494.00,600
"01-Sep-2020","Sweet Treats","Twisters 4.23oz",739.04,496
"01-Sep-2020","Sweet Treats","Sportsman 2.82oz",643.79,541
"01-Sep-2020","Sweet Treats","Sweetlings 11.28oz",3984.45,505
"01-Sep-2020","Sweet Treats","Elysian Fudge 1.76oz",512.46,234
"01-Sep-2020","Sweet Treats","Sportsman 7.05oz",251.49,101
