SalesMonth,Retailer,Product,SalesValueUSD,UnitsSold
"01-Apr-2020","Sweet Treats","Schnoogles 8.81oz",3922.31,409
"01-Apr-2020","Sweet Treats","Creamies 10.57oz",3057.18,502
"01-Apr-2020","Sweet Treats","Caramax 6.59oz",1147.37,443
"01-Apr-2020","Sweet Treats","Salt Chocolate 10.57oz",2788.06,874
"01-Apr-2020","Sweet Treats","Chocolatey Nougat 8.81oz",666.81,279
"01-Apr-2020","Sweet Treats","The Original 4.23oz",986.38,662
"01-Apr-2020","Sweet Treats","Meltos 28.19oz",4950.46,254
"01-Apr-2020","Sweet Treats","Zoots 3.17oz",48.65,35
"01-Apr-2020","Sweet Treats","Sweetsverse 7.05oz",1149.29,281
"01-Apr-2020","Sweet Treats","Rumbuns 2.47oz",1007.40,460
"01-Apr-2020","Sweet Treats","Xero 4.23oz",11.90,10
"01-Apr-2020","Sweet Treats","Zigzags 5.64oz",1291.77,463
"01-Apr-2020","Sweet Treats","Yumyums 22.91oz",2453.22,198
"01-Apr-2020","Sweet Treats","Zigzags 3.52oz",1522.35,765
"01-Apr-2020","Sweet Treats","Bitterbutter 3.88oz",899.64,476
"01-Apr-2020","Sweet Treats","Dr Sweets 9.52oz",1364.22,858
"01-Apr-2020","Sweet Treats","Paramels 8.35oz",1709.86,214
"01-Apr-2020","Sweet Treats","Whippersnappers 4.41oz",1535.67,453
"01-Apr-2020","Sweet Treats","Yumyums 5.71oz",490.14,126
"01-Apr-2020","Sweet Treats","Minotaur 13.39oz",4550.26,814
"01-Apr-2020","Sweet Treats","Elysian Fudge 4.41oz",3954.93,777
"01-Apr-2020","Sweet Treats","Sportsman 7.05oz",362.60,140
"01-Apr-2020","Sweet Treats","Schnoogles 3.52oz",999.57,233
"01-Apr-2020","Sweet Treats","Sweetlings 11.28oz",6641.25,875
"01-Apr-2020","Sweet Treats","Sportsman 2.82oz",1005.55,845
"01-Apr-2020","Sweet Treats","Daydream 7.05oz",859.88,332
"01-Apr-2020","Sweet Treats","Twisters 4.23oz",1365.81,859
"01-Apr-2020","Sweet Treats","Huckles 2.11oz",5.94,6
"01-Apr-2020","Sweet Treats","Obelisk 8.81oz",900.90,210
"01-Apr-2020","Sweet Treats","Caramax 2.64oz",592.62,498
"01-Apr-2020","Sweet Treats","Hoots 2.47oz",367.29,231
"01-Apr-2020","Sweet Treats","Hoots 9.87oz",4273.86,874
"01-Apr-2020","Sweet Treats","Bitterbutter 15.51oz",2915.55,495
"01-Apr-2020","Sweet Treats","Cheeky Caramels 31.72oz",9428.24,536
"01-Apr-2020","Sweet Treats","Elysian Fudge 7.05oz",5518.53,757
"01-Apr-2020","Sweet Treats","Boho 7.05oz",1070.40,160
"01-Apr-2020","Sweet Treats","Cheeky Caramels 12.69oz",2146.08,272
"01-Apr-2020","Sweet Treats","Meltos 7.05oz",3035.97,553
"01-Apr-2020","Sweet Treats","Caramax 10.57oz",2188.17,593
"01-Apr-2020","Sweet Treats","Zoots 12.69oz",2660.65,635
"01-Apr-2020","Sweet Treats","Obelisk 22.03oz",5149.83,537
"01-Apr-2020","Sweet Treats","Boho 2.82oz",717.60,240
"01-Apr-2020","Sweet Treats","Sweetsverse 2.82oz",856.17,453
"01-Apr-2020","Sweet Treats","Boho 28.19oz",14994.39,701
"01-Apr-2020","Sweet Treats","Obelisk 35.24oz",9870.49,721
"01-Apr-2020","Sweet Treats","Pippops 22.91oz",6466.68,852
"01-Apr-2020","Sweet Treats","Unicorn 4.23oz",393.77,233
"01-Apr-2020","Sweet Treats","Huckles 5.29oz",1769.52,808
"01-Apr-2020","Sweet Treats","Sailor Joe 4.23oz",1266.37,553
"01-Apr-2020","Sweet Treats","Flair 17.62oz",8598.12,548
"01-Apr-2020","Sweet Treats","Unicorn 16.92oz",4046.85,765
"01-Apr-2020","Sweet Treats","Buzzers 11.98oz",1108.53,327
"01-Apr-2020","Sweet Treats","Unicorn 6.77oz",568.82,238
"01-Apr-2020","Sweet Treats","Buzzers 3.00oz",570.07,523
"01-Apr-2020","Sweet Treats","Pippops 2.29oz",484.11,489
"01-Apr-2020","Sweet Treats","Daydream 2.82oz",805.63,677
"01-Apr-2020","Sweet Treats","Cheeky Caramels 3.17oz",2091.60,840
"01-Apr-2020","Sweet Treats","Sweetsverse 28.19oz",10303.09,721
"01-Apr-2020","Sweet Treats","Sweetlings 2.82oz",1010.97,423
"01-Apr-2020","Sweet Treats","Googlies 4.83oz",655.32,508
"01-Apr-2020","Sweet Treats","Boho 11.28oz",6329.40,660
"01-Apr-2020","Sweet Treats","Creamies 2.64oz",252.39,141
"01-Apr-2020","Sweet Treats","Gnaw 16.92oz",346.86,94
"01-Apr-2020","Sweet Treats","Rokkolate 4.23oz",1381.71,869
"01-Apr-2020","Sweet Treats","Paramels 13.39oz",5745.00,500
"01-Apr-2020","Sweet Treats","Forage Bar 5.71oz",1694.60,740
"01-Apr-2020","Sweet Treats","Bitterbutter 9.69oz",2115.95,505
"01-Apr-2020","Sweet Treats","Hoots 6.17oz",1539.09,441
"01-Apr-2020","Sweet Treats","Sailor Joe 10.57oz",386.84,76
"01-Apr-2020","Sweet Treats","Yumyums 9.16oz",3242.20,580
"01-Apr-2020","Sweet Treats","Rumbuns 9.87oz",2321.42,298
"01-Apr-2020","Sweet Treats","Googlies 19.38oz",2120.05,545
"01-Apr-2020","Sweet Treats","Banonza 6.59oz",1721.25,375
"01-Apr-2020","Sweet Treats","Forage Bar 2.29oz",27.25,25
"01-Apr-2020","Sweet Treats","Cerealice 1.41oz",734.58,462
"01-Apr-2020","Sweet Treats","Petals 3.07oz",1247.49,501
"01-Apr-2020","Sweet Treats","Sailor Joe 42.29oz",12095.82,738
"01-Apr-2020","Sweet Treats","Bravo 1.76oz",427.11,619
"01-Apr-2020","Sweet Treats","Chocolatey Nougat 14.10oz",1152.60,340
"01-Apr-2020","Sweet Treats","Schnoogles 14.10oz",8652.08,632
"01-Apr-2020","Sweet Treats","Sailor Joe 16.92oz",2667.79,361
"01-Apr-2020","Sweet Treats","Minotaur 3.35oz",1225.89,771
"01-Apr-2020","Sweet Treats","Banananice 1.76oz",944.28,732
"01-Apr-2020","Sweet Treats","Banonza 2.64oz",411.73,197
"01-Apr-2020","Sweet Treats","Flair 28.19oz",12167.09,541
"01-Apr-2020","Sweet Treats","Banananice 4.41oz",290.52,108
"01-Apr-2020","Sweet Treats","Yumyums 2.29oz",1177.82,658
"01-Apr-2020","Sweet Treats","Gumbles 1.76oz",713.95,655
"01-Apr-2020","Sweet Treats","Paramels 3.35oz",1281.63,357
"01-Apr-2020","Sweet Treats","Cerealice 3.52oz",862.03,247
"01-Apr-2020","Sweet Treats","Cerealice 14.10oz",8783.28,792
"01-Apr-2020","Sweet Treats","Constellation 16.00oz",1782.90,210
"01-Apr-2020","Sweet Treats","Twisters 16.92oz",1212.72,248
"01-Apr-2020","Sweet Treats","Zigzags 14.10oz",4074.21,669
"01-Apr-2020","Sweet Treats","Unicorn 1.69oz",489.01,619
"01-Apr-2020","Sweet Treats","Gnaw 4.23oz",166.60,140
"01-Apr-2020","Sweet Treats","Xero 10.57oz",1844.08,712
"01-Apr-2020","Sweet Treats","Carousel 16.00oz",3754.78,482
"01-Apr-2020","Sweet Treats","Gnaw 10.57oz",2217.04,856
"01-Apr-2020","Sweet Treats","Bravo 7.05oz",674.52,308
"01-Apr-2020","Sweet Treats","Cheeky Caramels 7.93oz",988.20,180
"01-Apr-2020","Sweet Treats","Dynasty 16.00oz",4395.31,419
"01-Apr-2020","Sweet Treats","Paramels 33.48oz",12482.36,484
"01-Apr-2020","Sweet Treats","Gumbles 4.41oz",2069.74,866
"01-Apr-2020","Sweet Treats","Fairy Sweets 1.59oz",193.52,328
"01-Apr-2020","Sweet Treats","Flair 7.05oz",2991.72,428
"01-Apr-2020","Sweet Treats","Rokkolate 10.57oz",2579.11,739
"01-Apr-2020","Sweet Treats","Googlies 7.75oz",481.51,269
"01-Apr-2020","Sweet Treats","Minotaur 33.48oz",9367.50,750
"01-Apr-2020","Sweet Treats","Salt Chocolate 26.43oz",5891.79,831
"01-Apr-2020","Sweet Treats","Cerealice 5.64oz",873.25,175
"01-Apr-2020","Sweet Treats","Zoots 7.93oz",338.13,117
"01-Apr-2020","Sweet Treats","The Original 10.57oz",1704.22,518
"01-Apr-2020","Sweet Treats","Whippersnappers 1.76oz",795.00,500
"01-Apr-2020","Sweet Treats","Twisters 10.57oz",3067.71,879
"01-Apr-2020","Sweet Treats","Magma 2.47oz",1104.43,617
"01-Apr-2020","Sweet Treats","Petals 1.23oz",967.47,813
