SalesMonth,Retailer,Product,SalesValueUSD,UnitsSold
"01-may-2020","Naughty but Nice","Zigzags 3.52oz",2618.84,1316
"01-may-2020","Naughty but Nice","Magma 6.17oz",10364.06,2534
"01-may-2020","Naughty but Nice","Sweetsverse 2.82oz",3407.67,1803
"01-may-2020","Naughty but Nice","Forage Bar 5.71oz",2748.00,1200
"01-may-2020","Naughty but Nice","Zoots 12.69oz",4474.92,1068
"01-may-2020","Naughty but Nice","Sailor Joe 10.57oz",6414.84,1236
"01-may-2020","Naughty but Nice","Daydream 7.05oz",277.13,107
"01-may-2020","Naughty but Nice","Googlies 4.83oz",2036.91,1579
"01-may-2020","Naughty but Nice","Forage Bar 2.29oz",1402.83,1287
"01-may-2020","Naughty but Nice","Paramels 3.35oz",2254.59,611
"01-may-2020","Naughty but Nice","Caramax 6.59oz",1100.75,425
"01-may-2020","Naughty but Nice","Pippops 22.91oz",14741.73,1917
"01-may-2020","Naughty but Nice","Minotaur 3.35oz",4033.83,2537
"01-may-2020","Naughty but Nice","Schnoogles 3.52oz",4656.13,1037
"01-may-2020","Naughty but Nice","Pippops 2.29oz",1560.24,1576
"01-may-2020","Naughty but Nice","Huckles 5.29oz",1951.08,852
"01-may-2020","Naughty but Nice","Constellation 16.00oz",18839.92,2168
"01-may-2020","Naughty but Nice","Sailor Joe 4.23oz",1378.58,602
"01-may-2020","Naughty but Nice","Googlies 1.94oz",525.69,891
"01-may-2020","Naughty but Nice","Salt Chocolate 10.57oz",6099.28,1912
"01-may-2020","Naughty but Nice","Sweetsverse 7.05oz",3681.00,900
"01-may-2020","Naughty but Nice","Googlies 19.38oz",1328.67,333
"01-may-2020","Naughty but Nice","Meltos 2.82oz",1869.99,751
"01-may-2020","Naughty but Nice","Daydream 2.82oz",224.91,189
"01-may-2020","Naughty but Nice","Magma 2.47oz",1315.44,696
"01-may-2020","Naughty but Nice","Buzzers 11.98oz",8068.20,2380
"01-may-2020","Naughty but Nice","Gumbles 4.41oz",4177.72,1748
"01-may-2020","Naughty but Nice","Cerealice 1.41oz",1306.98,822
"01-may-2020","Naughty but Nice","Minotaur 13.39oz",11655.27,2013
