SalesMonth,Retailer,Product,SalesValueUSD,UnitsSold
"01-apr-2020","Naughty but Nice","Creamies 10.57oz",613.44,96
"01-apr-2020","Naughty but Nice","Carousel 16.00oz",14308.54,1726
"01-apr-2020","Naughty but Nice","Schnoogles 3.52oz",4947.98,1102
"01-apr-2020","Naughty but Nice","Hoots 9.87oz",1053.57,203
"01-apr-2020","Naughty but Nice","Caramax 6.59oz",963.02,358
"01-apr-2020","Naughty but Nice","Sailor Joe 4.23oz",1451.67,583
"01-apr-2020","Naughty but Nice","Gnaw 4.23oz",2149.14,1666
"01-apr-2020","Naughty but Nice","Schnoogles 8.81oz",8193.08,812
"01-apr-2020","Naughty but Nice","Googlies 7.75oz",1417.50,750
"01-apr-2020","Naughty but Nice","Yumyums 9.16oz",9665.49,1641
"01-apr-2020","Naughty but Nice","Banonza 2.64oz",562.83,257
"01-apr-2020","Naughty but Nice","Constellation 16.00oz",5716.27,643
"01-apr-2020","Naughty but Nice","Sweetlings 7.05oz",5970.12,1068
"01-apr-2020","Naughty but Nice","Sweetsverse 7.05oz",3715.14,866
"01-apr-2020","Naughty but Nice","Caramax 10.57oz",8883.76,2344
"01-apr-2020","Naughty but Nice","Obelisk 8.81oz",1432.31,319
"01-apr-2020","Naughty but Nice","Cheeky Caramels 7.93oz",12981.18,2242
"01-apr-2020","Naughty but Nice","Dynasty 16.00oz",26427.47,2383
"01-apr-2020","Naughty but Nice","Pippops 2.29oz",945.03,867
"01-apr-2020","Naughty but Nice","Twisters 4.23oz",659.10,390
"01-apr-2020","Naughty but Nice","Twisters 16.92oz",11283.06,2174
"01-apr-2020","Naughty but Nice","Elysian Fudge 7.05oz",18363.72,2388
"01-apr-2020","Naughty but Nice","Bitterbutter 9.69oz",6361.11,1449
"01-apr-2020","Naughty but Nice","Cheeky Caramels 31.72oz",38514.67,2083
"01-apr-2020","Naughty but Nice","The Original 10.57oz",7287.12,2088
"01-apr-2020","Naughty but Nice","Unicorn 4.23oz",368.74,206
"01-apr-2020","Naughty but Nice","Paramels 33.48oz",45516.06,1674
"01-apr-2020","Naughty but Nice","Gumbles 4.41oz",5776.80,2320
"01-apr-2020","Naughty but Nice","Meltos 2.82oz",199.43,77
"01-apr-2020","Naughty but Nice","Googlies 19.38oz",10036.86,2454
"01-apr-2020","Naughty but Nice","Hoots 6.17oz",5647.07,1573
"01-apr-2020","Naughty but Nice","Schnoogles 14.10oz",8853.39,611
"01-apr-2020","Naughty but Nice","Chocolatey Nougat 14.10oz",1030.33,287
"01-apr-2020","Naughty but Nice","Gnaw 16.92oz",291.75,75
"01-apr-2020","Naughty but Nice","Googlies 1.94oz",282.61,479
"01-apr-2020","Naughty but Nice","Yumyums 22.91oz",20721.47,1583
"01-apr-2020","Naughty but Nice","Salt Chocolate 26.43oz",13065.52,1768
"01-apr-2020","Naughty but Nice","Banonza 6.59oz",723.72,148
"01-apr-2020","Naughty but Nice","Googlies 4.83oz",269.61,209
"01-apr-2020","Naughty but Nice","The Original 4.23oz",135.15,85
"01-apr-2020","Naughty but Nice","Zigzags 5.64oz",2713.71,939
"01-apr-2020","Naughty but Nice","Daydream 7.05oz",3720.27,1383
