SalesMonth,Retailer,Product,SalesValueUSD,UnitsSold
"01-Apr-2020","Desserts4All","Banananice 1.76oz",4529.14,3806
"01-Apr-2020","Desserts4All","Banananice 4.41oz",7668.99,2961
"01-Apr-2020","Desserts4All","Banonza 2.64oz",5755.08,2892
"01-Apr-2020","Desserts4All","Banonza 6.59oz",6555.12,1528
"01-Apr-2020","Desserts4All","Bitterbutter 3.88oz",14201.86,7934
"01-Apr-2020","Desserts4All","Bitterbutter 9.69oz",26459.78,6802
"01-Apr-2020","Desserts4All","Bitterbutter 15.51oz",27021.78,4922
"01-Apr-2020","Desserts4All","Boho 2.82oz",19245.42,6898
"01-Apr-2020","Desserts4All","Boho 7.05oz",5558.62,898
"01-Apr-2020","Desserts4All","Boho 11.28oz",45543.47,5123
"01-Apr-2020","Desserts4All","Boho 28.19oz",12653.67,633
"01-Apr-2020","Desserts4All","Bravo 1.76oz",2159.99,3661
"01-Apr-2020","Desserts4All","Bravo 7.05oz",7231.40,3460
"01-Apr-2020","Desserts4All","Buzzers 3.00oz",3428.05,3145
"01-Apr-2020","Desserts4All","Buzzers 7.47oz",4478.55,2045
"01-Apr-2020","Desserts4All","Buzzers 11.98oz",16840.01,5279
"01-Apr-2020","Desserts4All","Caramax 2.64oz",8299.26,7614
"01-Apr-2020","Desserts4All","Caramax 6.59oz",1455.51,609
"01-Apr-2020","Desserts4All","Caramax 10.57oz",5678.25,1675
"01-Apr-2020","Desserts4All","Carousel 16.00oz",13923.90,1910
"01-Apr-2020","Desserts4All","Cerealice 1.41oz",2850.37,1913
"01-Apr-2020","Desserts4All","Cerealice 3.52oz",11169.55,3395
"01-Apr-2020","Desserts4All","Cerealice 5.64oz",10280.48,2192
"01-Apr-2020","Desserts4All","Cerealice 14.10oz",56883.12,5528
"01-Apr-2020","Desserts4All","Cheeky Caramels 3.17oz",18750.52,8188
"01-Apr-2020","Desserts4All","Cheeky Caramels 7.93oz",3853.13,757
"01-Apr-2020","Desserts4All","Cheeky Caramels 12.69oz",45374.60,6140
"01-Apr-2020","Desserts4All","Cheeky Caramels 31.72oz",132431.20,8080
"01-Apr-2020","Desserts4All","Chocolatey Nougat 3.52oz",424.01,389
"01-Apr-2020","Desserts4All","Chocolatey Nougat 8.81oz",6118.86,2794
"01-Apr-2020","Desserts4All","Chocolatey Nougat 14.10oz",1374.89,431
"01-Apr-2020","Desserts4All","Constellation 16.00oz",48436.71,6139
"01-Apr-2020","Desserts4All","Creamies 2.64oz",3619.98,2142
"01-Apr-2020","Desserts4All","Creamies 10.57oz",50322.36,8844
"01-Apr-2020","Desserts4All","Daydream 2.82oz",2137.49,1961
"01-Apr-2020","Desserts4All","Daydream 7.05oz",14904.04,6236
"01-Apr-2020","Desserts4All","Dr Sweets 9.52oz",1418.48,952
"01-Apr-2020","Desserts4All","Dynasty 16.00oz",30378.37,3103
"01-Apr-2020","Desserts4All","Elysian Fudge 1.76oz",10082.76,4604
"01-Apr-2020","Desserts4All","Elysian Fudge 4.41oz",2102.81,439
"01-Apr-2020","Desserts4All","Elysian Fudge 7.05oz",7401.10,1090
"01-Apr-2020","Desserts4All","Fairy Sweets 1.59oz",4698.17,7963
"01-Apr-2020","Desserts4All","Flair 7.05oz",12474.87,1893
"01-Apr-2020","Desserts4All","Flair 17.62oz",89086.54,6106
"01-Apr-2020","Desserts4All","Flair 28.19oz",102116.35,4865
"01-Apr-2020","Desserts4All","Forage Bar 2.29oz",3505.59,3541
"01-Apr-2020","Desserts4All","Forage Bar 5.71oz",12042.58,5762
"01-Apr-2020","Desserts4All","Gnaw 4.23oz",3471.65,3185
"01-Apr-2020","Desserts4All","Gnaw 10.57oz",4856.48,2032
"01-Apr-2020","Desserts4All","Gnaw 16.92oz",24658.86,7274
"01-Apr-2020","Desserts4All","Googlies 1.94oz",4409.66,7474
"01-Apr-2020","Desserts4All","Googlies 4.83oz",2644.18,2222
"01-Apr-2020","Desserts4All","Googlies 7.75oz",8458.45,5005
"01-Apr-2020","Desserts4All","Googlies 19.38oz",10095.08,2812
"01-Apr-2020","Desserts4All","Gumbles 1.76oz",545.00,500
"01-Apr-2020","Desserts4All","Gumbles 4.41oz",17736.05,7745
"01-Apr-2020","Desserts4All","Hoots 2.47oz",369.52,248
"01-Apr-2020","Desserts4All","Hoots 6.17oz",9828.39,3081
"01-Apr-2020","Desserts4All","Hoots 9.87oz",24877.80,5420
"01-Apr-2020","Desserts4All","Huckles 2.11oz",1970.10,1990
"01-Apr-2020","Desserts4All","Huckles 5.29oz",17703.04,8896
"01-Apr-2020","Desserts4All","Magma 2.47oz",14726.66,8714
"01-Apr-2020","Desserts4All","Magma 6.17oz",468.63,127
"01-Apr-2020","Desserts4All","Meltos 2.82oz",14672.03,6407
"01-Apr-2020","Desserts4All","Meltos 7.05oz",34688.35,6815
"01-Apr-2020","Desserts4All","Meltos 28.19oz",44365.41,2439
"01-Apr-2020","Desserts4All","Minotaur 13.39oz",2084.26,394
"01-Apr-2020","Desserts4All","Minotaur 33.48oz",61828.41,5289
"01-Apr-2020","Desserts4All","Obelisk 8.81oz",6248.34,1566
"01-Apr-2020","Desserts4All","Obelisk 22.03oz",74791.57,8413
"01-Apr-2020","Desserts4All","Obelisk 35.24oz",70664.75,5525
"01-Apr-2020","Desserts4All","Paramels 8.35oz",32139.59,4291
"01-Apr-2020","Desserts4All","Paramels 13.39oz",48166.56,4464
"01-Apr-2020","Desserts4All","Petals 1.23oz",3995.94,3666
"01-Apr-2020","Desserts4All","Petals 3.07oz",8754.67,3823
"01-Apr-2020","Desserts4All","Pippops 2.29oz",1588.95,1605
"01-Apr-2020","Desserts4All","Pippops 9.16oz",1939.52,608
"01-Apr-2020","Desserts4All","Pippops 22.91oz",5523.11,779
"01-Apr-2020","Desserts4All","Rokkolate 4.23oz",38.74,26
"01-Apr-2020","Desserts4All","Rokkolate 10.57oz",1751.31,549
"01-Apr-2020","Desserts4All","Rumbuns 2.47oz",9463.52,4528
"01-Apr-2020","Desserts4All","Rumbuns 9.87oz",24632.91,3379
"01-Apr-2020","Desserts4All","Sailor Joe 4.23oz",15636.60,7140
"01-Apr-2020","Desserts4All","Sailor Joe 10.57oz",5527.66,1154
"01-Apr-2020","Desserts4All","Sailor Joe 16.92oz",15399.15,2235
"01-Apr-2020","Desserts4All","Sailor Joe 42.29oz",24356.97,1593
"01-Apr-2020","Desserts4All","Salt Chocolate 10.57oz",17315.09,5791
