SalesMonth,Retailer,Product,SalesValueUSD,UnitsSold
"01-May-2020","Desserts4All","Banananice 1.76oz",10851.48,8412
"01-May-2020","Desserts4All","Banananice 4.41oz",8216.55,2945
"01-May-2020","Desserts4All","Banonza 2.64oz",1062.56,464
"01-May-2020","Desserts4All","Banonza 6.59oz",18293.01,3819
"01-May-2020","Desserts4All","Bitterbutter 3.88oz",11325.09,5691
"01-May-2020","Desserts4All","Bitterbutter 9.69oz",12964.38,3022
"01-May-2020","Desserts4All","Bitterbutter 15.51oz",34748.82,5438
"01-May-2020","Desserts4All","Boho 2.82oz",19813.09,6211
"01-May-2020","Desserts4All","Boho 7.05oz",43634.37,6333
"01-May-2020","Desserts4All","Boho 11.28oz",16100.20,1580
"01-May-2020","Desserts4All","Boho 28.19oz",127703.45,5755
"01-May-2020","Desserts4All","Bravo 1.76oz",1120.56,1624
"01-May-2020","Desserts4All","Bravo 7.05oz",3929.64,1716
"01-May-2020","Desserts4All","Buzzers 3.00oz",7188.79,6041
"01-May-2020","Desserts4All","Buzzers 7.47oz",14247.78,5722
"01-May-2020","Desserts4All","Buzzers 11.98oz",1737.56,484
"01-May-2020","Desserts4All","Caramax 2.64oz",4075.11,3159
"01-May-2020","Desserts4All","Caramax 6.59oz",9038.40,3360
"01-May-2020","Desserts4All","Caramax 10.57oz",12980.93,3337
"01-May-2020","Desserts4All","Carousel 16.00oz",51056.46,6234
"01-May-2020","Desserts4All","Cerealice 1.41oz",11074.57,6553
"01-May-2020","Desserts4All","Cerealice 3.52oz",24080.94,6526
"01-May-2020","Desserts4All","Cerealice 5.64oz",21922.56,4224
"01-May-2020","Desserts4All","Cerealice 14.10oz",103527.99,8781
"01-May-2020","Desserts4All","Cheeky Caramels 3.17oz",15964.76,6164
"01-May-2020","Desserts4All","Cheeky Caramels 7.93oz",43187.61,7459
"01-May-2020","Desserts4All","Cheeky Caramels 12.69oz",35016.96,4224
"01-May-2020","Desserts4All","Cheeky Caramels 31.72oz",52742.52,2868
"01-May-2020","Desserts4All","Chocolatey Nougat 3.52oz",6906.76,5804
"01-May-2020","Desserts4All","Chocolatey Nougat 8.81oz",7818.60,3140
"01-May-2020","Desserts4All","Chocolatey Nougat 14.10oz",28307.15,7885
"01-May-2020","Desserts4All","Constellation 16.00oz",10562.58,1162
"01-May-2020","Desserts4All","Creamies 2.64oz",1380.09,771
"01-May-2020","Desserts4All","Creamies 10.57oz",38.94,6
"01-May-2020","Desserts4All","Daydream 2.82oz",11020.47,8543
"01-May-2020","Desserts4All","Daydream 7.05oz",7456.68,2772
"01-May-2020","Desserts4All","Dr Sweets 9.52oz",14993.68,8872
"01-May-2020","Desserts4All","Dynasty 16.00oz",78633.45,7155
"01-May-2020","Desserts4All","Elysian Fudge 1.76oz",9961.52,4168
"01-May-2020","Desserts4All","Elysian Fudge 4.41oz",20582.01,3749
"01-May-2020","Desserts4All","Elysian Fudge 7.05oz",43111.20,5680
"01-May-2020","Desserts4All","Fairy Sweets 1.59oz",3619.06,6134
"01-May-2020","Desserts4All","Flair 7.05oz",22124.85,2915
"01-May-2020","Desserts4All","Flair 17.62oz",77250.79,4601
"01-May-2020","Desserts4All","Flair 28.19oz",204586.72,8528
"01-May-2020","Desserts4All","Forage Bar 2.29oz",6482.23,5947
"01-May-2020","Desserts4All","Forage Bar 5.71oz",13008.77,5443
"01-May-2020","Desserts4All","Gnaw 4.23oz",5948.19,4611
"01-May-2020","Desserts4All","Gnaw 10.57oz",14240.86,5294
"01-May-2020","Desserts4All","Gnaw 16.92oz",24732.62,6358
"01-May-2020","Desserts4All","Googlies 1.94oz",71.07,103
"01-May-2020","Desserts4All","Googlies 4.83oz",6958.26,5394
"01-May-2020","Desserts4All","Googlies 7.75oz",3203.55,1695
"01-May-2020","Desserts4All","Googlies 19.38oz",19839.65,4735
"01-May-2020","Desserts4All","Gumbles 1.76oz",1086.47,913
"01-May-2020","Desserts4All","Gumbles 4.41oz",2758.92,1108
"01-May-2020","Desserts4All","Hoots 2.47oz",2673.58,1582
"01-May-2020","Desserts4All","Hoots 6.17oz",20494.26,5554
"01-May-2020","Desserts4All","Hoots 9.87oz",39511.47,7613
"01-May-2020","Desserts4All","Huckles 2.11oz",1454.06,1334
"01-May-2020","Desserts4All","Huckles 5.29oz",19815.49,8291
"01-May-2020","Desserts4All","Magma 2.47oz",7981.89,4011
"01-May-2020","Desserts4All","Magma 6.17oz",25366.77,5913
"01-May-2020","Desserts4All","Meltos 2.82oz",8881.11,3429
"01-May-2020","Desserts4All","Meltos 7.05oz",38972.49,6731
"01-May-2020","Desserts4All","Meltos 28.19oz",41897.25,2025
"01-May-2020","Desserts4All","Minotaur 3.35oz",3177.20,1880
"01-May-2020","Desserts4All","Minotaur 13.39oz",30900.66,5074
"01-May-2020","Desserts4All","Minotaur 33.48oz",102750.90,7910
"01-May-2020","Desserts4All","Obelisk 8.81oz",18066.24,3936
"01-May-2020","Desserts4All","Obelisk 22.03oz",3484.98,342
"01-May-2020","Desserts4All","Obelisk 35.24oz",117652.64,8176
"01-May-2020","Desserts4All","Paramels 3.35oz",21787.89,5601
"01-May-2020","Desserts4All","Paramels 8.35oz",19238.34,2266
"01-May-2020","Desserts4All","Paramels 13.39oz",98302.26,7934
"01-May-2020","Desserts4All","Paramels 33.48oz",173809.44,6416
"01-May-2020","Desserts4All","Petals 1.23oz",9473.59,7961
"01-May-2020","Desserts4All","Petals 3.07oz",16721.04,6216
"01-May-2020","Desserts4All","Pippops 2.29oz",9035.01,8289
"01-May-2020","Desserts4All","Pippops 9.16oz",10210.23,2767
"01-May-2020","Desserts4All","Pippops 22.91oz",59749.22,7478
"01-May-2020","Desserts4All","Rokkolate 4.23oz",14735.11,8719
"01-May-2020","Desserts4All","Rokkolate 10.57oz",7104.61,1979
"01-May-2020","Desserts4All","Rumbuns 2.47oz",18001.48,7532
"01-May-2020","Desserts4All","Rumbuns 9.87oz",58662.88,6992
"01-May-2020","Desserts4All","Sailor Joe 4.23oz",15016.37,6283
"01-May-2020","Desserts4All","Sailor Joe 10.57oz",20271.79,3761
"01-May-2020","Desserts4All","Sailor Joe 16.92oz",18109.95,2355
"01-May-2020","Desserts4All","Sailor Joe 42.29oz",23571.75,1325
"01-May-2020","Desserts4All","Salt Chocolate 10.57oz",18228.03,5377
"01-May-2020","Desserts4All","Salt Chocolate 26.43oz",3333.05,445
"01-May-2020","Desserts4All","Schnoogles 3.52oz",26958.12,5748
"01-May-2020","Desserts4All","Schnoogles 8.81oz",40780.38,4002
"01-May-2020","Desserts4All","Schnoogles 14.10oz",55601.65,3785
"01-May-2020","Desserts4All","Sportsman 2.82oz",8855.85,6865
"01-May-2020","Desserts4All","Sportsman 7.05oz",19397.59,7211
"01-May-2020","Desserts4All","Sweetlings 7.05oz",11937.62,2098
"01-May-2020","Desserts4All","Sweetlings 11.28oz",34627.32,4228
"01-May-2020","Desserts4All","Sweetsverse 2.82oz",2479.54,1246
"01-May-2020","Desserts4All","Sweetsverse 7.05oz",22033.44,5136
"01-May-2020","Desserts4All","Sweetsverse 28.19oz",55200.46,3634
"01-May-2020","Desserts4All","The Original 4.23oz",5679.48,3572
"01-May-2020","Desserts4All","The Original 10.57oz",14855.42,4138
"01-May-2020","Desserts4All","Twisters 4.23oz",9222.33,5457
"01-May-2020","Desserts4All","Twisters 10.57oz",17490.60,4740
"01-May-2020","Desserts4All","Twisters 16.92oz",43736.13,8427
"01-May-2020","Desserts4All","Unicorn 1.69oz",2636.18,2962
"01-May-2020","Desserts4All","Unicorn 4.23oz",11196.45,6255
"01-May-2020","Desserts4All","Unicorn 6.77oz",20862.45,8055
"01-May-2020","Desserts4All","Unicorn 16.92oz",28853.99,5071
"01-May-2020","Desserts4All","Whippersnappers 1.76oz",7062.51,4179
"01-May-2020","Desserts4All","Whippersnappers 4.41oz",12295.75,3425
"01-May-2020","Desserts4All","Xero 4.23oz",9242.85,7165
"01-May-2020","Desserts4All","Xero 10.57oz",23980.05,8595
"01-May-2020","Desserts4All","Yumyums 2.29oz",10028.34,5306
"01-May-2020","Desserts4All","Yumyums 5.71oz",31760.20,7580
"01-May-2020","Desserts4All","Yumyums 9.16oz",45629.83,7747
"01-May-2020","Desserts4All","Yumyums 22.91oz",81817.57,6203
"01-May-2020","Desserts4All","Zigzags 1.41oz",8216.01,8299
"01-May-2020","Desserts4All","Zigzags 3.52oz",772.12,388
"01-May-2020","Desserts4All","Zigzags 5.64oz",20143.30,6970
"01-May-2020","Desserts4All","Zigzags 14.10oz",49113.54,7686
"01-May-2020","Desserts4All","Zoots 3.17oz",10886.48,7832
"01-May-2020","Desserts4All","Zoots 7.93oz",19949.04,6456
"01-May-2020","Desserts4All","Zoots 12.69oz",29869.56,6804
