SalesMonth,Retailer,Product,SalesValueUSD,UnitsSold
"01-Jun-2020","Desserts4All","Banananice 1.76oz",6846.07,5753
"01-Jun-2020","Desserts4All","Banananice 4.41oz",16713.27,6453
"01-Jun-2020","Desserts4All","Banonza 2.64oz",6831.67,3433
"01-Jun-2020","Desserts4All","Banonza 6.59oz",36494.90,8710
"01-Jun-2020","Desserts4All","Bitterbutter 3.88oz",7956.55,4445
"01-Jun-2020","Desserts4All","Bitterbutter 9.69oz",14072.27,3713
"01-Jun-2020","Desserts4All","Bitterbutter 15.51oz",43511.43,7647
"01-Jun-2020","Desserts4All","Boho 2.82oz",4405.41,1579
"01-Jun-2020","Desserts4All","Boho 7.05oz",31832.43,5227
"01-Jun-2020","Desserts4All","Boho 11.28oz",21025.17,2313
"01-Jun-2020","Desserts4All","Boho 28.19oz",125717.11,6289
"01-Jun-2020","Desserts4All","Bravo 1.76oz",2139.34,3626
"01-Jun-2020","Desserts4All","Bravo 7.05oz",4215.53,2017
"01-Jun-2020","Desserts4All","Buzzers 3.00oz",2669.04,2696
"01-Jun-2020","Desserts4All","Buzzers 7.47oz",17375.46,7934
"01-Jun-2020","Desserts4All","Buzzers 11.98oz",1958.66,614
"01-Jun-2020","Desserts4All","Caramax 2.64oz",1565.24,1436
"01-Jun-2020","Desserts4All","Caramax 6.59oz",16242.44,6796
"01-Jun-2020","Desserts4All","Caramax 10.57oz",4428.81,1269
"01-Jun-2020","Desserts4All","Carousel 16.00oz",34245.97,4763
"01-Jun-2020","Desserts4All","Cerealice 1.41oz",11802.29,7921
"01-Jun-2020","Desserts4All","Cerealice 3.52oz",15886.20,4980
"01-Jun-2020","Desserts4All","Cerealice 5.64oz",30067.59,6411
"01-Jun-2020","Desserts4All","Cerealice 14.10oz",6036.30,570
"01-Jun-2020","Desserts4All","Cheeky Caramels 3.17oz",12753.01,5569
"01-Jun-2020","Desserts4All","Cheeky Caramels 7.93oz",42745.82,8398
"01-Jun-2020","Desserts4All","Cheeky Caramels 12.69oz",43277.22,5778
"01-Jun-2020","Desserts4All","Cheeky Caramels 31.72oz",138009.69,8631
"01-Jun-2020","Desserts4All","Chocolatey Nougat 3.52oz",6973.82,6398
"01-Jun-2020","Desserts4All","Chocolatey Nougat 8.81oz",4351.00,1900
"01-Jun-2020","Desserts4All","Chocolatey Nougat 14.10oz",11261.67,3423
"01-Jun-2020","Desserts4All","Constellation 16.00oz",12776.40,1560
"01-Jun-2020","Desserts4All","Creamies 2.64oz",3407.04,2016
"01-Jun-2020","Desserts4All","Creamies 10.57oz",2287.38,402
"01-Jun-2020","Desserts4All","Daydream 2.82oz",5577.53,4687
"01-Jun-2020","Desserts4All","Daydream 7.05oz",12028.87,5033
"01-Jun-2020","Desserts4All","Dr Sweets 9.52oz",6929.22,4358
"01-Jun-2020","Desserts4All","Dynasty 16.00oz",62507.43,6257
"01-Jun-2020","Desserts4All","Elysian Fudge 1.76oz",16799.49,7671
"01-Jun-2020","Desserts4All","Elysian Fudge 4.41oz",19579.56,4004
"01-Jun-2020","Desserts4All","Elysian Fudge 7.05oz",4494.98,662
"01-Jun-2020","Desserts4All","Fairy Sweets 1.59oz",2183.59,3701
"01-Jun-2020","Desserts4All","Flair 7.05oz",9113.97,1383
"01-Jun-2020","Desserts4All","Flair 17.62oz",93402.69,6231
"01-Jun-2020","Desserts4All","Flair 28.19oz",177156.00,8400
"01-Jun-2020","Desserts4All","Forage Bar 2.29oz",1459.26,1474
"01-Jun-2020","Desserts4All","Gnaw 4.23oz",9287.89,8521
"01-Jun-2020","Desserts4All","Gnaw 10.57oz",391.96,164
"01-Jun-2020","Desserts4All","Gnaw 16.92oz",19624.27,5623
"01-Jun-2020","Desserts4All","Googlies 1.94oz",3357.69,5691
"01-Jun-2020","Desserts4All","Googlies 4.83oz",2288.37,1923
"01-Jun-2020","Desserts4All","Googlies 7.75oz",7196.02,4258
"01-Jun-2020","Desserts4All","Googlies 19.38oz",22774.11,6009
"01-Jun-2020","Desserts4All","Gumbles 1.76oz",94.83,87
"01-Jun-2020","Desserts4All","Gumbles 4.41oz",20026.05,8745
"01-Jun-2020","Desserts4All","Hoots 2.47oz",776.29,521
"01-Jun-2020","Desserts4All","Hoots 6.17oz",19605.11,5959
