SalesMonth,Retailer,Product,SalesValueUSD,UnitsSold
"01-Sep-2020","Desserts4All","Banananice 1.76oz",5748.89,4831
"01-Sep-2020","Desserts4All","Banananice 4.41oz",8017.80,3220
"01-Sep-2020","Desserts4All","Banonza 2.64oz",7768.96,3904
"01-Sep-2020","Desserts4All","Banonza 6.59oz",3884.13,927
"01-Sep-2020","Desserts4All","Bitterbutter 3.88oz",8600.41,5089
"01-Sep-2020","Desserts4All","Bitterbutter 9.69oz",23316.08,6152
"01-Sep-2020","Desserts4All","Bitterbutter 15.51oz",35606.34,6606
"01-Sep-2020","Desserts4All","Boho 2.82oz",5150.34,1846
"01-Sep-2020","Desserts4All","Boho 7.05oz",15846.18,2602
"01-Sep-2020","Desserts4All","Boho 11.28oz",76084.01,8279
"01-Sep-2020","Desserts4All","Boho 28.19oz",53616.99,2751
"01-Sep-2020","Desserts4All","Bravo 1.76oz",3553.57,6023
"01-Sep-2020","Desserts4All","Bravo 7.05oz",5310.69,2541
"01-Sep-2020","Desserts4All","Buzzers 3.00oz",5737.05,5795
"01-Sep-2020","Desserts4All","Buzzers 7.47oz",17559.42,8018
"01-Sep-2020","Desserts4All","Buzzers 11.98oz",20868.47,6343
"01-Sep-2020","Desserts4All","Caramax 2.64oz",5748.66,5274
"01-Sep-2020","Desserts4All","Caramax 6.59oz",14901.03,6507
"01-Sep-2020","Desserts4All","Caramax 10.57oz",24672.42,7278
"01-Sep-2020","Desserts4All","Carousel 16.00oz",52695.51,7329
"01-Sep-2020","Desserts4All","Cerealice 1.41oz",10795.05,7245
"01-Sep-2020","Desserts4All","Cerealice 3.52oz",18364.78,5582
"01-Sep-2020","Desserts4All","Cerealice 5.64oz",37335.06,8134
"01-Sep-2020","Desserts4All","Cerealice 14.10oz",65187.15,6335
"01-Sep-2020","Desserts4All","Cheeky Caramels 3.17oz",10692.86,4474
"01-Sep-2020","Desserts4All","Cheeky Caramels 7.93oz",2117.18,442
"01-Sep-2020","Desserts4All","Cheeky Caramels 12.69oz",54242.60,7340
"01-Sep-2020","Desserts4All","Cheeky Caramels 31.72oz",58102.00,3800
"01-Sep-2020","Desserts4All","Chocolatey Nougat 3.52oz",5509.95,5055
"01-Sep-2020","Desserts4All","Chocolatey Nougat 8.81oz",4080.78,1782
"01-Sep-2020","Desserts4All","Chocolatey Nougat 14.10oz",23743.17,7443
"01-Sep-2020","Desserts4All","Constellation 16.00oz",26616.10,3290
"01-Sep-2020","Desserts4All","Creamies 2.64oz",10891.50,6850
"01-Sep-2020","Desserts4All","Creamies 10.57oz",16307.54,2866
"01-Sep-2020","Desserts4All","Daydream 2.82oz",7009.10,5890
"01-Sep-2020","Desserts4All","Daydream 7.05oz",13732.94,5746
"01-Sep-2020","Desserts4All","Dr Sweets 9.52oz",1055.76,664
"01-Sep-2020","Desserts4All","Dynasty 16.00oz",46766.83,4777
"01-Sep-2020","Desserts4All","Elysian Fudge 1.76oz",9609.82,4598
"01-Sep-2020","Desserts4All","Elysian Fudge 4.41oz",17051.43,3487
"01-Sep-2020","Desserts4All","Elysian Fudge 7.05oz",8888.11,1309
"01-Sep-2020","Desserts4All","Fairy Sweets 1.59oz",545.75,925
"01-Sep-2020","Desserts4All","Flair 7.05oz",23733.93,3657
"01-Sep-2020","Desserts4All","Flair 17.62oz",97314.90,6810
"01-Sep-2020","Desserts4All","Flair 28.19oz",59251.50,2850
"01-Sep-2020","Desserts4All","Forage Bar 2.29oz",3008.61,3039
