SalesMonth,Retailer,Product,SalesValueUSD,UnitsSold
"01-Jul-2020","Sweet Treats","Petals 1.23oz",889.44,816
"01-Jul-2020","Sweet Treats","Whippersnappers 1.76oz",816.52,548
"01-Jul-2020","Sweet Treats","Magma 2.47oz",437.71,259
"01-Jul-2020","Sweet Treats","The Original 10.57oz",2487.45,805
"01-Jul-2020","Sweet Treats","Zoots 7.93oz",619.38,222
"01-Jul-2020","Sweet Treats","Salt Chocolate 26.43oz",4263.93,657
"01-Jul-2020","Sweet Treats","Cerealice 5.64oz",3929.04,856
"01-Jul-2020","Sweet Treats","Minotaur 33.48oz",7675.32,668
"01-Jul-2020","Sweet Treats","Fairy Sweets 1.59oz",49.56,84
"01-Jul-2020","Sweet Treats","Googlies 7.75oz",1257.36,744
"01-Jul-2020","Sweet Treats","Rokkolate 10.57oz",2143.68,672
"01-Jul-2020","Sweet Treats","Flair 7.05oz",1693.63,257
"01-Jul-2020","Sweet Treats","Gumbles 4.41oz",571.59,261
"01-Jul-2020","Sweet Treats","Cheeky Caramels 7.93oz",3602.78,722
"01-Jul-2020","Sweet Treats","Paramels 33.48oz",4467.49,191
"01-Jul-2020","Sweet Treats","Dynasty 16.00oz",7209.81,729
"01-Jul-2020","Sweet Treats","Carousel 16.00oz",3222.18,442
"01-Jul-2020","Sweet Treats","Xero 10.57oz",1220.10,490
"01-Jul-2020","Sweet Treats","Bravo 7.05oz",1456.73,697
"01-Jul-2020","Sweet Treats","Gnaw 10.57oz",951.22,398
"01-Jul-2020","Sweet Treats","Gnaw 4.23oz",166.77,153
"01-Jul-2020","Sweet Treats","Unicorn 1.69oz",268.60,340
"01-Jul-2020","Sweet Treats","Zigzags 14.10oz",4192.50,750
"01-Jul-2020","Sweet Treats","Chocolatey Nougat 3.52oz",279.04,256
"01-Jul-2020","Sweet Treats","Twisters 16.92oz",637.58,142
"01-Jul-2020","Sweet Treats","Cerealice 14.10oz",6252.04,596
"01-Jul-2020","Sweet Treats","Meltos 2.82oz",222.13,97
"01-Jul-2020","Sweet Treats","Cerealice 3.52oz",98.70,30
"01-Jul-2020","Sweet Treats","Paramels 3.35oz",485.11,139
"01-Jul-2020","Sweet Treats","Pippops 9.16oz",140.36,44
"01-Jul-2020","Sweet Treats","Yumyums 2.29oz",55.77,33
"01-Jul-2020","Sweet Treats","Banananice 4.41oz",659.85,265
"01-Jul-2020","Sweet Treats","Banonza 2.64oz",107.46,54
"01-Jul-2020","Sweet Treats","Banananice 1.76oz",1031.73,867
"01-Jul-2020","Sweet Treats","Minotaur 3.35oz",1127.93,757
"01-Jul-2020","Sweet Treats","Sailor Joe 16.92oz",4395.53,667
"01-Jul-2020","Sweet Treats","Chocolatey Nougat 14.10oz",312.62,98
"01-Jul-2020","Sweet Treats","Forage Bar 2.29oz",812.79,821
"01-Jul-2020","Sweet Treats","Sailor Joe 42.29oz",4692.99,311
"01-Jul-2020","Sweet Treats","Bravo 1.76oz",388.81,659
"01-Jul-2020","Sweet Treats","Cerealice 1.41oz",797.15,535
"01-Jul-2020","Sweet Treats","Petals 3.07oz",121.37,53
"01-Jul-2020","Sweet Treats","Banonza 6.59oz",3335.24,796
"01-Jul-2020","Sweet Treats","Googlies 19.38oz",2660.58,702
"01-Jul-2020","Sweet Treats","Rumbuns 9.87oz",1337.59,181
"01-Jul-2020","Sweet Treats","Yumyums 9.16oz",3607.05,695
"01-Jul-2020","Sweet Treats","Sailor Joe 10.57oz",1796.27,383
"01-Jul-2020","Sweet Treats","Bitterbutter 9.69oz",1409.88,372
"01-Jul-2020","Sweet Treats","Hoots 6.17oz",1282.38,402
"01-Jul-2020","Sweet Treats","Forage Bar 5.71oz",12.54,6
"01-Jul-2020","Sweet Treats","Creamies 2.64oz",554.32,328
