SalesMonth,Retailer,Product,SalesValueUSD,UnitsSold
"01-jul-2020","Just One More","Cerealice 5.64oz",4636.99,911
"01-jul-2020","Just One More","Paramels 8.35oz",3456.68,412
"01-jul-2020","Just One More","Rumbuns 9.87oz",7772.31,949
"01-jul-2020","Just One More","Schnoogles 3.52oz",4.49,1
"01-jul-2020","Just One More","Zigzags 5.64oz",828.63,297
"01-jul-2020","Just One More","Dr Sweets 9.52oz",819.65,485
"01-jul-2020","Just One More","Flair 17.62oz",17870.13,1097
"01-jul-2020","Just One More","Huckles 2.11oz",1065.24,1076
"01-jul-2020","Just One More","Constellation 16.00oz",4126.86,454
"01-jul-2020","Just One More","Paramels 33.48oz",10084.12,388
"01-jul-2020","Just One More","Cheeky Caramels 31.72oz",7783.05,445
"01-jul-2020","Just One More","Magma 6.17oz",3854.80,920
"01-jul-2020","Just One More","Minotaur 3.35oz",1010.62,598
"01-jul-2020","Just One More","Flair 28.19oz",8374.45,355
"01-jul-2020","Just One More","Unicorn 16.92oz",1479.40,260
"01-jul-2020","Just One More","Pippops 9.16oz",351.82,98
"01-jul-2020","Just One More","Petals 1.23oz",921.06,774
"01-jul-2020","Just One More","Rokkolate 4.23oz",882.45,555
"01-jul-2020","Just One More","Xero 4.23oz",865.59,671
"01-jul-2020","Just One More","Banonza 2.64oz",1909.68,872
"01-jul-2020","Just One More","Minotaur 33.48oz",2017.71,159
"01-jul-2020","Just One More","Dynasty 16.00oz",10627.33,967
"01-jul-2020","Just One More","Zigzags 1.41oz",747.60,840
"01-jul-2020","Just One More","Bravo 1.76oz",577.53,837
"01-jul-2020","Just One More","Buzzers 11.98oz",2010.24,576
"01-jul-2020","Just One More","Sweetlings 11.28oz",4506.13,557
"01-jul-2020","Just One More","Salt Chocolate 26.43oz",7815.53,1087
"01-jul-2020","Just One More","Paramels 13.39oz",6770.40,560
"01-jul-2020","Just One More","Twisters 16.92oz",1007.98,202
"01-jul-2020","Just One More","Caramax 2.64oz",65.45,55
"01-jul-2020","Just One More","Schnoogles 14.10oz",12718.10,890
"01-jul-2020","Just One More","Cheeky Caramels 12.69oz",5123.22,618
"01-jul-2020","Just One More","Sweetlings 7.05oz",3606.93,657
"01-jul-2020","Just One More","Hoots 2.47oz",575.58,362
"01-jul-2020","Just One More","Boho 2.82oz",803.88,252
"01-jul-2020","Just One More","Fairy Sweets 1.59oz",236.00,400
"01-jul-2020","Just One More","Bitterbutter 15.51oz",5742.87,943
"01-jul-2020","Just One More","Sportsman 2.82oz",291.54,226
