SalesMonth,Retailer,Product,SalesValueUSD,UnitsSold
"01-jun-2020","Just One More","Zoots 12.69oz",1853.31,489
"01-jun-2020","Just One More","Banonza 6.59oz",2539.14,606
"01-jun-2020","Just One More","Elysian Fudge 4.41oz",53.79,11
"01-jun-2020","Just One More","Daydream 7.05oz",2136.66,894
"01-jun-2020","Just One More","Boho 28.19oz",12293.85,615
"01-jun-2020","Just One More","Schnoogles 3.52oz",808.67,193
"01-jun-2020","Just One More","Chocolatey Nougat 3.52oz",516.66,474
"01-jun-2020","Just One More","Buzzers 7.47oz",1079.67,493
"01-jun-2020","Just One More","Banananice 4.41oz",1745.66,674
"01-jun-2020","Just One More","Zigzags 3.52oz",110.98,62
"01-jun-2020","Just One More","Fairy Sweets 1.59oz",425.39,721
"01-jun-2020","Just One More","Forage Bar 2.29oz",888.03,897
"01-jun-2020","Just One More","Unicorn 6.77oz",2225.88,972
"01-jun-2020","Just One More","Cerealice 1.41oz",348.66,234
"01-jun-2020","Just One More","Bitterbutter 3.88oz",1807.90,1010
"01-jun-2020","Just One More","Gnaw 16.92oz",3563.29,1021
"01-jun-2020","Just One More","Unicorn 1.69oz",238.58,302
"01-jun-2020","Just One More","Dr Sweets 9.52oz",602.61,379
"01-jun-2020","Just One More","Whippersnappers 1.76oz",917.84,616
"01-jun-2020","Just One More","Caramax 6.59oz",927.32,388
"01-jun-2020","Just One More","Hoots 2.47oz",1476.59,991
"01-jun-2020","Just One More","Rumbuns 9.87oz",2172.66,294
"01-jun-2020","Just One More","Unicorn 4.23oz",745.71,469
"01-jun-2020","Just One More","Dynasty 16.00oz",10611.97,1073
"01-jun-2020","Just One More","Banonza 2.64oz",242.78,122
"01-jun-2020","Just One More","Pippops 2.29oz",780.12,788
"01-jun-2020","Just One More","Obelisk 8.81oz",2494.90,610
"01-jun-2020","Just One More","Cheeky Caramels 12.69oz",7101.79,961
"01-jun-2020","Just One More","Pippops 9.16oz",583.77,183
"01-jun-2020","Just One More","Rokkolate 10.57oz",802.76,244
"01-jun-2020","Just One More","Bravo 1.76oz",571.12,968
"01-jun-2020","Just One More","Cerealice 3.52oz",3170.86,994
"01-jun-2020","Just One More","Caramax 2.64oz",877.45,805
"01-jun-2020","Just One More","Meltos 2.82oz",1032.48,432
