SalesMonth,Retailer,Product,SalesValueUSD,UnitsSold
"01-may-2020","Just One More","Boho 2.82oz",2155.79,721
"01-may-2020","Just One More","Creamies 10.57oz",4945.81,799
"01-may-2020","Just One More","Googlies 19.38oz",3702.72,928
"01-may-2020","Just One More","Zigzags 1.41oz",237.63,267
"01-may-2020","Just One More","Caramax 10.57oz",3564.54,966
"01-may-2020","Just One More","Obelisk 22.03oz",9331.07,973
"01-may-2020","Just One More","Sweetlings 11.28oz",2485.01,319
"01-may-2020","Just One More","Pippops 22.91oz",4326.30,570
"01-may-2020","Just One More","Sweetlings 7.05oz",1854.16,344
"01-may-2020","Just One More","Bitterbutter 3.88oz",1935.36,1024
"01-may-2020","Just One More","Schnoogles 14.10oz",2750.22,198
"01-may-2020","Just One More","The Original 4.23oz",140.06,94
"01-may-2020","Just One More","Paramels 8.35oz",5041.69,631
"01-may-2020","Just One More","Sailor Joe 10.57oz",1099.44,216
"01-may-2020","Just One More","Magma 2.47oz",1103.76,584
"01-may-2020","Just One More","Chocolatey Nougat 8.81oz",1993.26,834
"01-may-2020","Just One More","Buzzers 3.00oz",967.92,888
"01-may-2020","Just One More","Gumbles 4.41oz",1926.34,806
"01-may-2020","Just One More","Minotaur 3.35oz",1268.82,798
"01-may-2020","Just One More","Yumyums 9.16oz",5813.60,1040
"01-may-2020","Just One More","Yumyums 5.71oz",2579.07,663
"01-may-2020","Just One More","Hoots 2.47oz",542.19,341
"01-may-2020","Just One More","Unicorn 4.23oz",1815.06,1074
"01-may-2020","Just One More","Hoots 6.17oz",2258.03,647
"01-may-2020","Just One More","Flair 7.05oz",5622.58,782
"01-may-2020","Just One More","Sportsman 2.82oz",631.89,531
"01-may-2020","Just One More","Minotaur 13.39oz",4335.78,762
"01-may-2020","Just One More","Forage Bar 5.71oz",1371.71,599
"01-may-2020","Just One More","Daydream 2.82oz",1101.94,926
"01-may-2020","Just One More","Meltos 7.05oz",3034.57,563
"01-may-2020","Just One More","Meltos 28.19oz",19413.69,991
"01-may-2020","Just One More","Yumyums 2.29oz",1045.36,584
"01-may-2020","Just One More","Sailor Joe 4.23oz",2347.25,1025
"01-may-2020","Just One More","Carousel 16.00oz",3237.49,421
"01-may-2020","Just One More","Cerealice 1.41oz",313.23,197
"01-may-2020","Just One More","Constellation 16.00oz",395.14,46
"01-may-2020","Just One More","Huckles 2.11oz",978.12,988
"01-may-2020","Just One More","Meltos 2.82oz",2567.19,1031
"01-may-2020","Just One More","Dynasty 16.00oz",5901.52,568
"01-may-2020","Just One More","Caramax 6.59oz",2229.99,861
"01-may-2020","Just One More","Googlies 1.94oz",603.57,1023
"01-may-2020","Just One More","Elysian Fudge 7.05oz",5076.14,706
"01-may-2020","Just One More","Sweetlings 2.82oz",2442.58,1022
"01-may-2020","Just One More","Xero 10.57oz",717.43,277
"01-may-2020","Just One More","Whippersnappers 4.41oz",1244.13,367
"01-may-2020","Just One More","Cheeky Caramels 31.72oz",3982.31,229
"01-may-2020","Just One More","Salt Chocolate 10.57oz",746.46,234
"01-may-2020","Just One More","Banonza 6.59oz",2317.95,505
"01-may-2020","Just One More","Huckles 5.29oz",994.26,454
"01-may-2020","Just One More","Bitterbutter 15.51oz",2539.53,417
"01-may-2020","Just One More","Boho 11.28oz",3164.70,330
"01-may-2020","Just One More","Zoots 12.69oz",1210.64,296
"01-may-2020","Just One More","Unicorn 16.92oz",894.74,166
"01-may-2020","Just One More","Rumbuns 9.87oz",6824.85,865
"01-may-2020","Just One More","Twisters 4.23oz",562.86,354
"01-may-2020","Just One More","Cerealice 5.64oz",640.59,131
"01-may-2020","Just One More","Forage Bar 2.29oz",300.84,276
"01-may-2020","Just One More","Sportsman 7.05oz",1919.19,741
"01-may-2020","Just One More","Bravo 1.76oz",398.13,577
"01-may-2020","Just One More","Gumbles 1.76oz",632.20,580
"01-may-2020","Just One More","Minotaur 33.48oz",11589.47,943
"01-may-2020","Just One More","Creamies 2.64oz",1296.23,767
"01-may-2020","Just One More","Zoots 7.93oz",1184.04,396
"01-may-2020","Just One More","Unicorn 6.77oz",1772.88,712
"01-may-2020","Just One More","Obelisk 35.24oz",9975.06,734
"01-may-2020","Just One More","Cerealice 14.10oz",2772.50,250
"01-may-2020","Just One More","Bitterbutter 9.69oz",957.06,234
"01-may-2020","Just One More","Buzzers 11.98oz",1850.94,546
"01-may-2020","Just One More","Unicorn 1.69oz",742.60,940
"01-may-2020","Just One More","The Original 10.57oz",437.31,129
"01-may-2020","Just One More","Googlies 7.75oz",1918.88,1072
"01-may-2020","Just One More","Dr Sweets 9.52oz",1159.34,686
"01-may-2020","Just One More","Sweetsverse 28.19oz",5444.49,381
"01-may-2020","Just One More","Flair 28.19oz",6285.13,277
"01-may-2020","Just One More","Fairy Sweets 1.59oz",129.80,220
"01-may-2020","Just One More","Whippersnappers 1.76oz",1230.66,774
"01-may-2020","Just One More","Sailor Joe 42.29oz",17713.45,1055
"01-may-2020","Just One More","Pippops 2.29oz",705.87,713
"01-may-2020","Just One More","Banonza 2.64oz",1337.60,640
"01-may-2020","Just One More","Flair 17.62oz",2036.91,129
"01-may-2020","Just One More","Elysian Fudge 1.76oz",1548.04,676
"01-may-2020","Just One More","Zigzags 3.52oz",1321.11,699
"01-may-2020","Just One More","Chocolatey Nougat 3.52oz",820.77,753
"01-may-2020","Just One More","Banananice 4.41oz",543.38,202
"01-may-2020","Just One More","Petals 1.23oz",749.70,630
"01-may-2020","Just One More","Pippops 9.16oz",251.28,72
"01-may-2020","Just One More","Schnoogles 8.81oz",9699.69,1001
"01-may-2020","Just One More","Zigzags 5.64oz",882.32,328
"01-may-2020","Just One More","Twisters 10.57oz",1350.63,387
"01-may-2020","Just One More","Sweetsverse 2.82oz",1372.14,726
"01-may-2020","Just One More","Rokkolate 4.23oz",93.81,59
"01-may-2020","Just One More","Gnaw 10.57oz",1245.79,481
"01-may-2020","Just One More","Gnaw 4.23oz",1305.43,1097
"01-may-2020","Just One More","Petals 3.07oz",2181.24,876
"01-may-2020","Just One More","Hoots 9.87oz",5173.62,1058
"01-may-2020","Just One More","Googlies 4.83oz",266.56,224
"01-may-2020","Just One More","Schnoogles 3.52oz",302.91,69
"01-may-2020","Just One More","Banananice 1.76oz",470.85,365
"01-may-2020","Just One More","Cerealice 3.52oz",1964.87,563
"01-may-2020","Just One More","Twisters 16.92oz",767.73,157
"01-may-2020","Just One More","Cheeky Caramels 3.17oz",799.29,321
"01-may-2020","Just One More","Boho 7.05oz",1568.42,238
"01-may-2020","Just One More","Cheeky Caramels 12.69oz",5234.88,672
"01-may-2020","Just One More","Boho 28.19oz",8396.00,400
"01-may-2020","Just One More","Magma 6.17oz",3235.89,811
"01-may-2020","Just One More","Yumyums 22.91oz",2335.63,187
"01-may-2020","Just One More","Chocolatey Nougat 14.10oz",1572.96,464
"01-may-2020","Just One More","Rumbuns 2.47oz",2363.28,1032
"01-may-2020","Just One More","Daydream 7.05oz",2636.62,1018
"01-may-2020","Just One More","Cheeky Caramels 7.93oz",4622.58,842
"01-may-2020","Just One More","Sailor Joe 16.92oz",6918.21,949
"01-may-2020","Just One More","Caramax 2.64oz",78.54,66
"01-may-2020","Just One More","Buzzers 7.47oz",1828.35,765
"01-may-2020","Just One More","Rokkolate 10.57oz",3688.32,1088
"01-may-2020","Just One More","Paramels 3.35oz",2188.17,593
"01-may-2020","Just One More","Salt Chocolate 26.43oz",3313.26,474
"01-may-2020","Just One More","Paramels 13.39oz",11725.07,1003
