SalesMonth,Retailer,Product,SalesValueUSD,UnitsSold
"01-sep-2020","Just One More","Whippersnappers 1.76oz",1808.30,1070
"01-sep-2020","Just One More","Boho 28.19oz",1016.14,46
"01-sep-2020","Just One More","Huckles 5.29oz",1016.76,444
"01-sep-2020","Just One More","Pippops 9.16oz",3202.92,868
"01-sep-2020","Just One More","Yumyums 9.16oz",1763.90,310
"01-sep-2020","Just One More","Creamies 10.57oz",1207.71,189
"01-sep-2020","Just One More","Gumbles 4.41oz",1371.99,551
"01-sep-2020","Just One More","Sweetsverse 28.19oz",854.43,57
"01-sep-2020","Just One More","Sportsman 7.05oz",371.22,138
"01-sep-2020","Just One More","Buzzers 11.98oz",701.10,190
"01-sep-2020","Just One More","Sailor Joe 16.92oz",284.53,37
"01-sep-2020","Just One More","Sweetlings 11.28oz",8710.26,1014
"01-sep-2020","Just One More","Zoots 3.17oz",1419.19,1021
"01-sep-2020","Just One More","Unicorn 6.77oz",2694.18,1082
"01-sep-2020","Just One More","Gnaw 4.23oz",1279.68,992
"01-sep-2020","Just One More","Unicorn 1.69oz",524.21,589
"01-sep-2020","Just One More","Sailor Joe 4.23oz",609.45,255
"01-sep-2020","Just One More","Boho 7.05oz",4712.76,684
"01-sep-2020","Just One More","Chocolatey Nougat 3.52oz",533.12,448
"01-sep-2020","Just One More","Caramax 6.59oz",1668.30,670
"01-sep-2020","Just One More","Twisters 10.57oz",2157.59,601
"01-sep-2020","Just One More","Boho 11.28oz",9766.60,940
"01-sep-2020","Just One More","Buzzers 3.00oz",1217.37,1023
"01-sep-2020","Just One More","Bravo 1.76oz",483.69,701
"01-sep-2020","Just One More","Cerealice 3.52oz",3247.20,880
"01-sep-2020","Just One More","Banonza 2.64oz",2074.74,906
"01-sep-2020","Just One More","Buzzers 7.47oz",19.92,8
"01-sep-2020","Just One More","Daydream 2.82oz",534.06,414
"01-sep-2020","Just One More","Magma 2.47oz",1247.73,627
"01-sep-2020","Just One More","Unicorn 16.92oz",324.33,57
"01-sep-2020","Just One More","Elysian Fudge 1.76oz",733.73,307
"01-sep-2020","Just One More","Cerealice 14.10oz",619.57,53
"01-sep-2020","Just One More","Banananice 4.41oz",2349.18,842
"01-sep-2020","Just One More","Forage Bar 5.71oz",354.95,155
"01-sep-2020","Just One More","Pippops 22.91oz",4320.06,534
"01-sep-2020","Just One More","Paramels 13.39oz",8049.95,655
"01-sep-2020","Just One More","Gnaw 10.57oz",1673.18,622
"01-sep-2020","Just One More","Googlies 1.94oz",81.42,118
"01-sep-2020","Just One More","Magma 6.17oz",3363.36,784
"01-sep-2020","Just One More","Constellation 16.00oz",275.70,30
"01-sep-2020","Just One More","Sweetlings 7.05oz",4870.64,856
"01-sep-2020","Just One More","Unicorn 4.23oz",1368.90,810
"01-sep-2020","Just One More","Sweetlings 2.82oz",176.12,68
"01-sep-2020","Just One More","Caramax 10.57oz",3930.23,1037
"01-sep-2020","Just One More","Elysian Fudge 7.05oz",6790.27,883
"01-sep-2020","Just One More","Banananice 1.76oz",750.78,582
"01-sep-2020","Just One More","Dynasty 16.00oz",5774.04,516
"01-sep-2020","Just One More","Zoots 12.69oz",4500.21,1049
"01-sep-2020","Just One More","The Original 4.23oz",637.72,428
"01-sep-2020","Just One More","Sweetsverse 7.05oz",1377.09,321
