Retailer,SkuCode,Product,SalesMonth,SalesValue,UnitsSold
"Candy Shack",10024,"Zoots 12.69oz","2020-04-01",10593.07,2413
"Candy Shack",10025,"Forage Bar 2.29oz","2020-04-01",752.10,690
"Candy Shack",10026,"Forage Bar 5.71oz","2020-04-01",709.83,297
"Candy Shack",10027,"Huckles 2.11oz","2020-04-01",154.78,142
"Candy Shack",10028,"Yumyums 9.16oz","2020-04-01",9665.49,1641
"Candy Shack",10029,"Yumyums 5.71oz","2020-04-01",4760.76,1164
"Candy Shack",10031,"Pippops 9.16oz","2020-04-01",750.31,209
"Candy Shack",10032,"Pippops 2.29oz","2020-04-01",945.03,867
"Candy Shack",10033,"Zigzags 5.64oz","2020-04-01",2713.71,939
"Candy Shack",10034,"Bitterbutter 3.88oz","2020-04-01",2041.74,1026
"Candy Shack",10035,"Cerealice 5.64oz","2020-04-01",5371.65,1035
"Candy Shack",10038,"Zoots 3.17oz","2020-04-01",2154.50,1550
"Candy Shack",10039,"Rumbuns 2.47oz","2020-04-01",793.48,332
"Candy Shack",10040,"Hoots 2.47oz","2020-04-01",1859.00,1100
"Candy Shack",10041,"Hoots 6.17oz","2020-04-01",5647.07,1573
"Candy Shack",10042,"Minotaur 3.35oz","2020-04-01",699.66,414
"Candy Shack",10043,"Paramels 3.35oz","2020-04-01",7542.10,1990
"Candy Shack",10044,"Magma 6.17oz","2020-04-01",5275.21,1259
"Candy Shack",10045,"Magma 2.47oz","2020-04-01",829.71,439
"Candy Shack",10046,"Unicorn 6.77oz","2020-04-01",5682.18,2282
"Candy Shack",10047,"Unicorn 1.69oz","2020-04-01",840.16,944
"Candy Shack",10048,"Zigzags 1.41oz","2020-04-01",178.20,180
"Candy Shack",10050,"Bitterbutter 9.69oz","2020-04-01",6361.11,1449
"Candy Shack",10051,"Bitterbutter 15.51oz","2020-04-01",7906.53,1257
"Candy Shack",10052,"Dr Sweets 9.52oz","2020-04-01",326.17,193
"Candy Shack",10053,"Creamies 2.64oz","2020-04-01",790.02,418
"Candy Shack",10054,"Cerealice 1.41oz","2020-04-01",2117.57,1253
"Candy Shack",10055,"Fairy Sweets 1.59oz","2020-04-01",956.39,1621
