Retailer,SkuCode,Product,SalesMonth,SalesValue,UnitsSold
"Candy Shack",10024,"Zoots 12.69oz","2020-06-01",2928.13,667
"Candy Shack",10025,"Forage Bar 2.29oz","2020-06-01",2387.10,2190
"Candy Shack",10027,"Huckles 2.11oz","2020-06-01",1284.02,1178
"Candy Shack",10028,"Yumyums 9.16oz","2020-06-01",5307.14,886
"Candy Shack",10029,"Yumyums 5.71oz","2020-06-01",620.12,148
"Candy Shack",10030,"Yumyums 2.29oz","2020-06-01",4362.12,2308
"Candy Shack",10031,"Pippops 9.16oz","2020-06-01",4881.87,1323
"Candy Shack",10032,"Pippops 2.29oz","2020-06-01",1236.06,1134
"Candy Shack",10033,"Zigzags 5.64oz","2020-06-01",5788.67,2003
"Candy Shack",10034,"Bitterbutter 3.88oz","2020-06-01",3229.77,1623
"Candy Shack",10035,"Cerealice 5.64oz","2020-06-01",11992.43,2267
"Candy Shack",10036,"Buzzers 7.47oz","2020-06-01",689.73,277
"Candy Shack",10037,"Cheeky Caramels 12.69oz","2020-06-01",20876.91,2459
"Candy Shack",10038,"Zoots 3.17oz","2020-06-01",3131.67,2253
"Candy Shack",10039,"Rumbuns 2.47oz","2020-06-01",513.85,215
"Candy Shack",10040,"Hoots 2.47oz","2020-06-01",2112.50,1250
"Candy Shack",10041,"Hoots 6.17oz","2020-06-01",708.48,192
"Candy Shack",10042,"Minotaur 3.35oz","2020-06-01",1451.71,859
"Candy Shack",10043,"Paramels 3.35oz","2020-06-01",9157.06,2354
"Candy Shack",10044,"Magma 6.17oz","2020-06-01",10669.23,2487
"Candy Shack",10045,"Magma 2.47oz","2020-06-01",1775.08,892
"Candy Shack",10046,"Unicorn 6.77oz","2020-06-01",1276.87,493
"Candy Shack",10047,"Unicorn 1.69oz","2020-06-01",1889.47,2123
"Candy Shack",10048,"Zigzags 1.41oz","2020-06-01",1295.91,1309
"Candy Shack",10049,"Caramax 2.64oz","2020-06-01",1782.78,1382
"Candy Shack",10050,"Bitterbutter 9.69oz","2020-06-01",886.78,202
"Candy Shack",10051,"Bitterbutter 15.51oz","2020-06-01",11805.31,1819
"Candy Shack",10052,"Dr Sweets 9.52oz","2020-06-01",1927.83,1077
"Candy Shack",10053,"Creamies 2.64oz","2020-06-01",3358.53,1777
"Candy Shack",10055,"Fairy Sweets 1.59oz","2020-06-01",151.80,220
"Candy Shack",10056,"Buzzers 11.98oz","2020-06-01",7.38,2
"Candy Shack",10057,"Cheeky Caramels 3.17oz","2020-06-01",1433.77,533
"Candy Shack",10058,"Banonza 2.64oz","2020-06-01",5312.80,2320
"Candy Shack",10059,"Sportsman 7.05oz","2020-06-01",3264.30,1170
"Candy Shack",10060,"Salt Chocolate 10.57oz","2020-06-01",3267.96,964
"Candy Shack",10061,"Meltos 7.05oz","2020-06-01",6548.49,1131
"Candy Shack",10062,"Meltos 28.19oz","2020-06-01",167.12,8
"Candy Shack",10063,"Zoots 7.93oz","2020-06-01",3847.14,1206
"Candy Shack",10064,"Sweetlings 7.05oz","2020-06-01",12722.84,2236
"Candy Shack",10065,"Sweetlings 11.28oz","2020-06-01",5411.55,645
"Candy Shack",10066,"Googlies 7.75oz","2020-06-01",2056.32,1088
"Candy Shack",10067,"Xero 10.57oz","2020-06-01",3830.67,1373
"Candy Shack",10068,"Xero 4.23oz","2020-06-01",3283.18,2362
"Candy Shack",10069,"The Original 10.57oz","2020-06-01",2933.03,817
"Candy Shack",10070,"The Original 4.23oz","2020-06-01",666.21,419
"Candy Shack",10071,"Sailor Joe 10.57oz","2020-06-01",5454.68,1012
"Candy Shack",10072,"Sailor Joe 4.23oz","2020-06-01",614.23,257
"Candy Shack",10073,"Sailor Joe 42.29oz","2020-06-01",9251.87,523
"Candy Shack",10074,"Obelisk 35.24oz","2020-06-01",37477.86,2534
"Candy Shack",10075,"Obelisk 22.03oz","2020-06-01",22102.92,2148
"Candy Shack",10076,"Gnaw 10.57oz","2020-06-01",4376.63,1627
"Candy Shack",10077,"Gnaw 4.23oz","2020-06-01",3175.98,2462
"Candy Shack",10078,"Rokkolate 4.23oz","2020-06-01",351.52,208
"Candy Shack",10079,"Rokkolate 10.57oz","2020-06-01",3439.08,932
"Candy Shack",10080,"Gumbles 4.41oz","2020-06-01",2600.36,1004
"Candy Shack",10081,"Whippersnappers 4.41oz","2020-06-01",8523.90,2310
"Candy Shack",10082,"Schnoogles 3.52oz","2020-06-01",3094.34,646
"Candy Shack",10083,"Sweetsverse 7.05oz","2020-06-01",2691.07,613
"Candy Shack",10084,"Schnoogles 14.10oz","2020-06-01",2709.98,182
"Candy Shack",10085,"Sweetsverse 28.19oz","2020-06-01",13731.90,910
"Candy Shack",10088,"Unicorn 4.23oz","2020-06-01",3646.23,2037
"Candy Shack",10089,"Zigzags 3.52oz","2020-06-01",4694.14,2246
