Retailer,SkuCode,Product,SalesMonth,SalesValue,UnitsSold
"Candy Shack",10024,"Zoots 12.69oz","2020-08-01",2362.08,592
"Candy Shack",10025,"Forage Bar 2.29oz","2020-08-01",1763.62,1618
"Candy Shack",10026,"Forage Bar 5.71oz","2020-08-01",3403.26,1554
"Candy Shack",10027,"Huckles 2.11oz","2020-08-01",377.19,381
"Candy Shack",10028,"Yumyums 9.16oz","2020-08-01",10721.97,1953
"Candy Shack",10029,"Yumyums 5.71oz","2020-08-01",7780.50,1950
"Candy Shack",10030,"Yumyums 2.29oz","2020-08-01",3263.17,1823
"Candy Shack",10031,"Pippops 9.16oz","2020-08-01",8508.62,2438
"Candy Shack",10032,"Pippops 2.29oz","2020-08-01",1622.61,1639
"Candy Shack",10033,"Zigzags 5.64oz","2020-08-01",6539.75,2525
"Candy Shack",10034,"Bitterbutter 3.88oz","2020-08-01",4541.67,2403
"Candy Shack",10035,"Cerealice 5.64oz","2020-08-01",10444.07,2093
"Candy Shack",10036,"Buzzers 7.47oz","2020-08-01",3718.84,1556
"Candy Shack",10037,"Cheeky Caramels 12.69oz","2020-08-01",17981.31,2279
"Candy Shack",10038,"Zoots 3.17oz","2020-08-01",2800.59,2171
"Candy Shack",10039,"Rumbuns 2.47oz","2020-08-01",4715.11,2059
"Candy Shack",10040,"Hoots 2.47oz","2020-08-01",2237.13,1407
"Candy Shack",10041,"Hoots 6.17oz","2020-08-01",4125.18,1182
"Candy Shack",10042,"Minotaur 3.35oz","2020-08-01",6.36,4
"Candy Shack",10043,"Paramels 3.35oz","2020-08-01",4708.44,1276
"Candy Shack",10044,"Magma 6.17oz","2020-08-01",7194.31,1759
"Candy Shack",10045,"Magma 2.47oz","2020-08-01",4056.14,2266
"Candy Shack",10046,"Unicorn 6.77oz","2020-08-01",6202.05,2595
"Candy Shack",10047,"Unicorn 1.69oz","2020-08-01",1271.11,1609
"Candy Shack",10048,"Zigzags 1.41oz","2020-08-01",248.31,279
"Candy Shack",10049,"Caramax 2.64oz","2020-08-01",2307.41,1939
"Candy Shack",10050,"Bitterbutter 9.69oz","2020-08-01",2796.99,701
"Candy Shack",10051,"Bitterbutter 15.51oz","2020-08-01",596.37,103
"Candy Shack",10052,"Dr Sweets 9.52oz","2020-08-01",1739.01,1029
"Candy Shack",10053,"Creamies 2.64oz","2020-08-01",4054.31,2399
"Candy Shack",10054,"Cerealice 1.41oz","2020-08-01",2461.32,1548
"Candy Shack",10055,"Fairy Sweets 1.59oz","2020-08-01",1157.58,1962
