Retailer,SkuCode,Product,SalesMonth,SalesValue,UnitsSold
"Candy Shack",10024,"Zoots 12.69oz","2020-07-01",2586.85,665
"Candy Shack",10025,"Forage Bar 2.29oz","2020-07-01",1799.82,1818
"Candy Shack",10026,"Forage Bar 5.71oz","2020-07-01",4883.70,2230
"Candy Shack",10027,"Huckles 2.11oz","2020-07-01",1424.61,1439
"Candy Shack",10028,"Yumyums 9.16oz","2020-07-01",6014.73,1137
"Candy Shack",10029,"Yumyums 5.71oz","2020-07-01",5033.12,1328
"Candy Shack",10030,"Yumyums 2.29oz","2020-07-01",1169.48,692
"Candy Shack",10031,"Pippops 9.16oz","2020-07-01",6431.95,1955
"Candy Shack",10032,"Pippops 2.29oz","2020-07-01",1499.85,1515
"Candy Shack",10033,"Zigzags 5.64oz","2020-07-01",4897.69,1891
"Candy Shack",10034,"Bitterbutter 3.88oz","2020-07-01",2262.56,1264
"Candy Shack",10035,"Cerealice 5.64oz","2020-07-01",6467.51,1379
"Candy Shack",10036,"Buzzers 7.47oz","2020-07-01",2727.39,1191
"Candy Shack",10037,"Cheeky Caramels 12.69oz","2020-07-01",17663.93,2297
"Candy Shack",10038,"Zoots 3.17oz","2020-07-01",940.41,729
"Candy Shack",10039,"Rumbuns 2.47oz","2020-07-01",2157.15,985
"Candy Shack",10040,"Hoots 2.47oz","2020-07-01",2004.05,1345
"Candy Shack",10041,"Hoots 6.17oz","2020-07-01",4066.44,1236
"Candy Shack",10042,"Minotaur 3.35oz","2020-07-01",3278.58,2062
"Candy Shack",10044,"Magma 6.17oz","2020-07-01",9180.40,2360
"Candy Shack",10045,"Magma 2.47oz","2020-07-01",1065.05,595
"Candy Shack",10046,"Unicorn 6.77oz","2020-07-01",1483.92,648
"Candy Shack",10047,"Unicorn 1.69oz","2020-07-01",1681.91,2129
"Candy Shack",10048,"Zigzags 1.41oz","2020-07-01",1300.29,1461
"Candy Shack",10049,"Caramax 2.64oz","2020-07-01",1726.56,1584
"Candy Shack",10050,"Bitterbutter 9.69oz","2020-07-01",6445.73,1657
"Candy Shack",10051,"Bitterbutter 15.51oz","2020-07-01",12910.61,2269
