Retailer,SkuCode,Product,SalesMonth,SalesValue,UnitsSold
"Candy Shack",10024,"Zoots 12.69oz","2020-09-01",5216.55,1245
"Candy Shack",10025,"Forage Bar 2.29oz","2020-09-01",1616.47,1483
"Candy Shack",10026,"Forage Bar 5.71oz","2020-09-01",5065.47,2313
"Candy Shack",10027,"Huckles 2.11oz","2020-09-01",1333.53,1347
"Candy Shack",10028,"Yumyums 9.16oz","2020-09-01",11342.11,2029
"Candy Shack",10029,"Yumyums 5.71oz","2020-09-01",4625.79,1131
"Candy Shack",10030,"Yumyums 2.29oz","2020-09-01",1274.48,712
"Candy Shack",10031,"Pippops 9.16oz","2020-09-01",5718.87,1593
"Candy Shack",10032,"Pippops 2.29oz","2020-09-01",913.77,923
"Candy Shack",10033,"Zigzags 5.64oz","2020-09-01",1934.11,719
"Candy Shack",10034,"Bitterbutter 3.88oz","2020-09-01",429.03,227
"Candy Shack",10035,"Cerealice 5.64oz","2020-09-01",3720.79,731
"Candy Shack",10036,"Buzzers 7.47oz","2020-09-01",883.95,355
"Candy Shack",10037,"Cheeky Caramels 12.69oz","2020-09-01",20912.65,2585
"Candy Shack",10038,"Zoots 3.17oz","2020-09-01",789.52,568
"Candy Shack",10039,"Rumbuns 2.47oz","2020-09-01",3263.25,1425
"Candy Shack",10040,"Hoots 2.47oz","2020-09-01",3785.79,2381
"Candy Shack",10041,"Hoots 6.17oz","2020-09-01",6418.92,1788
"Candy Shack",10042,"Minotaur 3.35oz","2020-09-01",741.91,439
"Candy Shack",10043,"Paramels 3.35oz","2020-09-01",9319.61,2459
"Candy Shack",10044,"Magma 6.17oz","2020-09-01",8132.79,1941
"Candy Shack",10045,"Magma 2.47oz","2020-09-01",4093.74,2166
"Candy Shack",10046,"Unicorn 6.77oz","2020-09-01",1949.67,783
"Candy Shack",10047,"Unicorn 1.69oz","2020-09-01",1064.92,1348
"Candy Shack",10048,"Zigzags 1.41oz","2020-09-01",2124.43,2387
"Candy Shack",10049,"Caramax 2.64oz","2020-09-01",515.27,433
"Candy Shack",10050,"Bitterbutter 9.69oz","2020-09-01",6135.00,1500
"Candy Shack",10052,"Dr Sweets 9.52oz","2020-09-01",1077.58,602
"Candy Shack",10053,"Creamies 2.64oz","2020-09-01",134.25,75
"Candy Shack",10054,"Cerealice 1.41oz","2020-09-01",630.37,373
"Candy Shack",10055,"Fairy Sweets 1.59oz","2020-09-01",1054.33,1787
"Candy Shack",10056,"Buzzers 11.98oz","2020-09-01",7495.92,2088
"Candy Shack",10057,"Cheeky Caramels 3.17oz","2020-09-01",4915.82,1898
"Candy Shack",10058,"Banonza 2.64oz","2020-09-01",5275.71,2409
"Candy Shack",10059,"Sportsman 7.05oz","2020-09-01",6433.56,2484
"Candy Shack",10060,"Salt Chocolate 10.57oz","2020-09-01",5520.62,1678
"Candy Shack",10061,"Meltos 7.05oz","2020-09-01",3311.58,582
"Candy Shack",10062,"Meltos 28.19oz","2020-09-01",15713.10,790
"Candy Shack",10063,"Zoots 7.93oz","2020-09-01",2146.82,718
